Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0342811	14657	4680	4083	697	184	220	7585	7010	5752	356	253	273	3538.04	6782	294	0.043	-4.534	-27.728	3.16828672307174e-169	5.60501604178622e-165	0.0097	0.0278	0.0174	0.0174	TRUE	NA
FBtr0100457	3087	886	832	236	55	53	1598	1327	1172	121	76	66	726.41	1366	88	0.063	-3.983	-19.49	1.3451655983945e-84	3.96622076686617e-81	0.0129	0.0349	0.0235	0.0235	TRUE	NA
FBtr0300190	2405	797	746	111	24	47	1245	1194	1051	57	33	58	606.2	1163	49	0.043	-4.55	-19.244	1.57432303265403e-82	3.48141859633529e-79	0.0132	0.0367	0.0296	0.0296	TRUE	NA
FBtr0084549	2490	751	893	81	37	54	1289	1125	1258	41	51	67	638.43	1224	53	0.042	-4.563	-19.043	7.51277165961803e-81	1.47676048255892e-77	0.0256	0.0361	0.0314	0.0314	TRUE	NA
FBtr0085094	101410	46896	59580	17936	10031	12131	52483	70241	83927	9159	13775	15050	40772.61	68884	12661	0.183	-2.452	-17.279	6.75686430544287e-67	1.08668805843263e-63	0.0071	0.0261	0.0145	0.0145	TRUE	NA
FBtr0074337	2035	1505	1138	148	85	70	1053	2254	1603	76	117	87	864.93	1637	93	0.059	-4.091	-16.9	4.53462804785505e-64	6.68517539955031e-61	0.0401	0.0335	0.0366	0.0366	TRUE	NA
FBtr0077645	5327	1953	2038	666	157	166	2757	2925	2871	340	216	206	1552.43	2851	254	0.087	-3.515	-16.532	2.17512715699993e-61	2.74858389532041e-58	0.0304	0.0301	0.0303	0.0303	TRUE	NA
FBtr0111030	6171	1226	985	666	132	170	3194	1836	1388	340	181	211	1191.63	2139	244	0.116	-3.107	-16.079	3.59055283076927e-58	4.23469800860928e-55	0.0179	0.0314	0.0242	0.0242	TRUE	NA
FBtr0070985	1416	399	365	105	37	37	733	598	514	54	51	46	332.49	615	50	0.081	-3.623	-16.043	6.38723933799145e-58	7.06229069552543e-55	0.0076	0.0455	0.0256	0.0256	TRUE	NA
FBtr0075753	7338	2708	2390	1327	534	573	3798	4056	3367	678	733	711	2223.7	3740	707	0.189	-2.404	-15.931	3.89010974416713e-57	4.04823126376827e-54	0.0061	0.0289	0.0155	0.0155	TRUE	NA
FBtr0089348	4028	1083	1041	791	192	201	2085	1622	1466	404	264	249	1015.02	1724	306	0.176	-2.51	-15.881	8.61490329681061e-57	8.4670141235487e-54	0.0043	0.0324	0.0158	0.0158	TRUE	NA
FBtr0085755	767	320	331	46	14	28	397	479	466	23	19	35	236.66	447	26	0.058	-4.103	-14.999	7.49984535365331e-51	6.98314548165688e-48	0	0.0534	0.034	0.034	TRUE	NA
