Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0112994	60	23	60	8888	4998	5277	31	34	85	4539	6864	6547	3016.51	50	5983	123.06	6.943	24.543	5.12646179311641e-133	4.53461177910112e-129	0.0936	0.0281	0.0466	0.0466	TRUE	NA
FBtr0073426	549	268	262	4784	2222	2631	284	401	369	2443	3051	3264	1635.51	351	2919	8.337	3.06	21.757	5.91003472177731e-105	3.48514747543208e-101	0.0012	0.0299	0.0125	0.0125	TRUE	NA
FBtr0337020	105	24	35	2749	1051	969	54	36	49	1404	1443	1202	698.14	46	1350	28.72	4.844	21.375	2.25985956660163e-101	9.99479389818736e-98	0.0133	0.0353	0.025	0.025	TRUE	NA
FBtr0342806	149	79	82	2611	2445	2073	77	118	116	1333	3358	2572	1262.28	104	2421	22.171	4.471	20.299	1.32199220336284e-91	4.6774728139384e-88	0.0283	0.0311	0.0297	0.0297	TRUE	NA
FBtr0340240	529	102	102	5508	1146	1067	274	153	144	2813	1574	1324	1046.74	190	1904	9.963	3.317	19.422	5.03457523036796e-84	1.27238100572057e-80	0.0062	0.0322	0.0173	0.0173	TRUE	NA
FBtr0301964	145	145	135	1290	1125	1369	75	217	190	659	1545	1698	730.75	161	1301	8.231	3.041	17.832	4.02113808679504e-71	7.11379538934911e-68	0.0031	0.0348	0.017	0.017	TRUE	NA
FBtr0342810	333	94	91	4643	1451	1093	172	141	128	2371	1993	1356	1026.82	147	1907	12.908	3.69	16.841	1.21683812749195e-63	1.65592948565077e-60	0.0285	0.0323	0.0303	0.0303	TRUE	NA
FBtr0089349	1500	393	451	6426	2612	2788	776	589	635	3281	3587	3459	2054.59	667	3442	5.177	2.372	14.292	2.46784299496675e-46	1.98448229199804e-43	0.0112	0.0291	0.0188	0.0188	TRUE	NA
FBtr0087258	963	265	242	5327	2285	2110	498	397	341	2720	3138	2618	1618.68	412	2825	6.896	2.786	14.256	4.0906522926191e-46	3.14642303081411e-43	0.0224	0.03	0.0259	0.0259	TRUE	NA
FBtr0301487	818	499	372	4779	3391	3782	423	747	524	2440	4657	4692	2247.33	565	3930	6.775	2.76	14.076	5.30741703875038e-45	3.91222978468887e-42	0.0246	0.0288	0.0266	0.0266	TRUE	NA
