Align,DE,Direction,ID,,,,,,
Sailfish,Limma,down,FBtr0073421,,,,,,
Sailfish,Limma,down,FBtr0342811,,,,,,
Sailfish,Limma,down,FBtr0077645,,,,,,
Sailfish,Limma,down,FBtr0089348,,,,,,
Sailfish,Limma,down,FBtr0084549,,,,,,
Sailfish,Limma,down,FBtr0302694,,,,,,
Sailfish,Limma,down,FBtr0087533,,,,,,
Sailfish,Limma,down,FBtr0308065,,,,,,
Sailfish,Limma,down,FBtr0072956,,,,,,
Sailfish,Limma,down,FBtr0072393,,,,,,
Sailfish,Limma,down,FBtr0334328,,,,,,
Sailfish,Limma,down,FBtr0290019,,,,,,
Sailfish,Limma,down,FBtr0073269,,,,,,
Sailfish,Limma,down,FBtr0075753,,,,,,
Sailfish,Limma,down,FBtr0070985,,,,,,
Sailfish,Limma,down,FBtr0083967,,,,,,
Sailfish,Limma,down,FBtr0074276,,,,,,
Sailfish,Limma,down,FBtr0300190,,,,,,
Sailfish,Limma,down,FBtr0306255,,,,,,
Sailfish,Limma,down,FBtr0113470,,,,,,
Sailfish,Limma,down,FBtr0299968,,,,,,
Sailfish,Limma,down,FBtr0075811,,,,,,
Sailfish,Limma,down,FBtr0330118,,,,,,
Sailfish,Limma,down,FBtr0070393,,,,,,
Sailfish,Limma,down,FBtr0071934,,,,,,
Sailfish,Limma,down,FBtr0332500,,,,,,
Sailfish,Limma,down,FBtr0332503,,,,,,
Sailfish,Limma,down,FBtr0078144,,,,,,
Sailfish,Limma,down,FBtr0071835,,,,,,
Sailfish,Limma,down,FBtr0332260,,,,,,
Sailfish,Limma,down,FBtr0087390,,,,,,
Sailfish,Limma,down,FBtr0077234,,,,,,
Sailfish,Limma,down,FBtr0089963,,,,,,
Sailfish,Limma,down,FBtr0089877,,,,,,
Sailfish,Limma,down,FBtr0089361,,,,,,
Sailfish,Limma,down,FBtr0078191,,,,,,
Sailfish,Limma,down,FBtr0080565,,,,,,
Sailfish,Limma,down,FBtr0087789,,,,,,
Sailfish,Limma,down,FBtr0087295,,,,,,
Sailfish,Limma,down,FBtr0072561,,,,,,
Sailfish,Limma,down,FBtr0100457,,,,,,
Sailfish,Limma,down,FBtr0085755,,,,,,
Sailfish,Limma,down,FBtr0334867,,,,,,
Sailfish,Limma,down,FBtr0302896,,,,,,
Sailfish,Limma,down,FBtr0333662,,,,,,
Sailfish,Limma,down,FBtr0079708,,,,,,
