Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.472	0	0
FBgn0267873	257	86.588	0	0
FBgn0267896	719	548.32	0.001091	0.005
FBgn0260225	1197	1026	0.057908	0.497
FBgn0040928	1085	913.997	2.74647	21
FBgn0262789	532	361.401	0	0
FBgn0058461	391	220.509	1.18563	2.187
FBgn0042701	620	449.371	1.69689	6.379
FBgn0263493	352	181.536	0.00028	0
FBgn0265917	359	188.533	0	0
FBgn0262163	610	439.378	0	0
FBgn0085831	237	66.602	0	0
FBgn0267108	321	150.55	4.31637	5.436
FBgn0051032	770	599.296	8.77629	44
FBgn0266102	391	220.509	0.005055	0.009
FBgn0053867	526	355.407	0.819755	2.437
FBgn0267026	323	152.549	0	0
FBgn0267519	2689	2518	2112.16	44492
FBgn0058005	1227	1056	0.536676	4.741
FBgn0039979	803	632.277	6.99134	36.98
FBgn0053318	523	352.411	0.678392	2
FBgn0053805	440	269.46	0.006565	0.015
FBgn0267419	780	609.291	0	0
FBgn0267892	760	589.302	0.000275	0.001
FBgn0267902	582	411.385	0.000228	0.001
FBgn0262964	777	606.293	0.197159	1
FBgn0085790	1041	869.997	0.151323	1.101
FBgn0267879	601	430.38	0.000236	0.001
FBgn0085291	1130	958.997	0.102315	0.821
FBgn0263093	1190.95	1019.94	16.9366	144.511
FBgn0267952	1290	1119	0.106825	1
FBgn0030117	636	465.352	0.046052	0.179
FBgn0058182	291	120.563	1.02275	1.032
FBgn0052518	75	25.895	0	0
FBgn0027934	1345	1174	0	0
FBgn0085340	423	252.472	0	0
FBgn0263744	845	674.245	0.177289	1
FBgn0263210	221	50.637	3.60043	1.525
FBtr0346869	123	47.567	25.0028	9.949
FBgn0267427	697	526.331	0	0
FBgn0263975	1131	959.997	2.49035	20
FBgn0267869	420	249.474	0.000494	0.001
FBgn0037560	962.887	792.068	49.1989	326
FBgn0263212	220	49.643	0	0
FBgn0085732	1466.78	1295.78	57.1757	619.787
FBgn0267593	610	439.378	0	0
FBgn0058100	394	223.506	4.30287	8.045
FBgn0264888	465	294.45	0.405965	1
FBgn0037143	1446	1275	0	0
FBgn0262510	501	330.428	2.67681	7.399
FBgn0263771	276	105.577	0	0
FBgn0053315	421	250.474	0	0
FBgn0050029	480	309.439	0	0
FBgn0085791	1041	869.997	0.133171	0.969
FBgn0085804	252	81.591	0	0
FBgn0267876	766	595.3	0.000276	0.001
FBgn0267494	656	485.342	0	0
FBgn0085792	1211	1040	1.92183	16.72
FBgn0053013	2636	2465	0	0
FBgn0266211	1668	1497	0.958209	12
FBgn0265141	1303	1132	0	0
FBgn0051292	441.497	270.962	0.020032	0.046
FBgn0053294	1972.68	1801.67	2.32216	35
FBgn0000280	166	11.965	0	0
FBgn0262885	102	38.975	0	0
FBgn0011812	456	285.454	0	0
FBgn0265533	402.055	231.545	0.00042	0.001
FBgn0052496	778	607.293	2.00609	10.192
FBgn0052009	2998.77	2827.77	0.510193	12.07
FBtr0347033	1076	904.997	0	0
FBgn0262688	493	322.436	0.370728	1
FBgn0053222	541.117	370.515	2.16957	6.724
FBgn0266940	581	410.385	0	0
FBgn0262565	802	631.278	0	0
FBgn0263002	361	190.531	0	0
FBgn0084049	531	360.402	15.3931	46.41
FBgn0263211	352	181.536	1.47439	2.239
FBgn0267872	775	604.294	0.000552	0.003
FBgn0262031	330	159.546	31.0616	41.458
FBgn0267014	274	103.578	4.66512	4.042
FBgn0039987	184	20.074	0	0
FBgn0261640	810	639.274	0.563992	3.016
FBgn0052761	71	24.24	0	0
FBgn0267863	274	103.578	0	0
FBgn0052034	74	25.442	0	0
FBgn0262795	735	564.312	0	0
FBgn0261856	450	279.456	0.427747	1
FBgn0051485	73	25.002	0	0
FBgn0267610	864	693.224	0	0
FBgn0262851	1188	1017	5.79199	49.277
FBgn0053416	143	39.243	0	0
FBgn0267520	357	186.535	2.83091	4.418
FBgn0085765	30	10.714	0	0
FBgn0267424	659	488.34	0	0
FBgn0030116	1305	1134	0	0
FBgn0031135	363	192.53	0.62087	1
FBgn0263213	224	53.624	0	0
FBgn0267878	266	95.584	0	0
FBgn0058441	177	16.298	0	0
FBgn0267864	485	314.442	0	0
FBgn0085500	687	516.334	0.000264	0.001
FBgn0085784	479	308.445	0.001874	0.005
FBgn0262848	1188	1017	16.0806	136.811
FBgn0063924	307	136.554	0.000562	0.001
FBgn0262616	554	383.394	0.311785	1
FBgn0267891	718	547.32	0.000814	0.004
FBgn0053491	369	198.529	9.88104	16.411
FBgn0050374	600	429.381	0.278392	1
FBtr0347034	740	569.308	0	0
FBgn0267898	414	243.481	0.000466	0.001
FBgn0260469	924.037	753.249	0.419422	2.643
FBgn0267874	253	82.59	0	0
FBgn0030243	4726.95	4555.94	37.7009	1436.91
FBgn0032269	1867	1696	0	0
FBgn0266369	2930	2759	17.0704	394
FBgn0032596	775.689	604.983	150.956	764
FBgn0033770	666.099	495.441	0.241273	1
FBgn0259237	2786	2615	0	0
FBgn0013685	525	354.409	0	0
FBgn0031021	768	597.297	72.1936	360.736
FBgn0033491	3329	3158	6.58624	174
FBgn0051141	961	790.188	0.151276	1
FBgn0284082	778	607.293	0.196835	1
FBgn0036396	1352	1181	7.08515	70
FBgn0036641	885.246	714.457	25.2639	151
FBgn0027594	4492.94	4321.93	162.325	5869
FBgn0261954	7896.04	7725.04	42.4603	2744
FBgn0029987	639	468.35	0.255229	1
FBgn0031660	1140.23	969.227	131.472	1066
FBgn0038619	939.877	769.088	21.2934	137
FBgn0001341	3680	3509	7.49444	220
FBgn0037541	7048.75	6877.74	25.1242	1445.56
FBgn0016701	1124.88	953.972	65.6592	524
FBgn0039110	1769.5	1598.5	53.8648	720.308
