Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.863	0	0
FBgn0267873	257	83.988	0	0
FBgn0267896	719	545.701	0.002016	0.008
FBgn0260225	1197	1023.43	0	0
FBgn0040928	1085	911.43	2.99652	21
FBgn0262789	532	358.785	0.362482	1
FBgn0058461	391	217.901	0.820938	1.375
FBgn0042701	620	446.752	0.756797	2.6
FBgn0263493	352	178.927	0.00052	0.001
FBgn0265917	359	185.925	0	0
FBgn0262163	610	436.76	0	0
FBgn0085831	237	64.014	0	0
FBgn0267108	321	147.94	12.8385	14.604
FBgn0051032	770	596.683	12.4237	57
FBgn0266102	391	217.901	2.97549	4.985
FBgn0053867	526	352.789	0.020107	0.055
FBgn0267026	323	149.94	0	0
FBgn0267519	2689	2515.43	2391.21	46249.7
FBgn0058005	1227	1053.43	0.196569	1.592
FBgn0039979	803	629.659	8.20273	39.714
FBgn0053318	523	349.791	1.17463	3.159
FBgn0053805	440	266.846	0.851004	1.746
FBgn0267419	780	606.674	0	0
FBgn0267892	760	586.686	0	0
FBgn0267902	582	408.77	0.000275	0.001
FBgn0262964	777	603.678	0.86174	4
FBgn0085790	1041	867.43	0.202732	1.352
FBgn0267879	601	427.764	0.000576	0.002
FBgn0085291	1130	956.43	0.251637	1.851
FBgn0263093	1186.68	1013.11	34.4556	268.406
FBgn0267952	1290	1116.43	0	0
FBgn0030117	636	462.726	0.035283	0.126
FBgn0058182	291	117.961	0	0
FBgn0052518	75	25.48	5.10422	1
FBgn0027934	1345	1171.43	0	0
FBgn0085340	423	249.863	0	0
FBgn0263744	845	671.632	0.193638	1
FBgn0263210	221	48.175	5.25589	1.947
FBtr0346869	123	48.736	18.9471	7.1
FBgn0267427	697	523.711	0	0
FBgn0263975	1131	957.43	2.71672	20
FBgn0267869	420	246.866	0.00065	0.001
FBgn0037560	966.296	792.879	46.7475	285
FBgn0263212	220	47.214	0	0
FBgn0085732	1475.6	1302.03	68.9336	690.133
FBgn0267593	610	436.76	0	0
FBgn0058100	394	220.898	7.61498	12.934
FBgn0264888	465	291.83	0	0
FBgn0037143	1446	1272.43	0	0
FBgn0262510	501	327.802	2.12481	5.356
FBgn0263771	276	102.971	0	0
FBgn0053315	421	247.865	0.524693	1
FBgn0050029	480	306.829	0	0
FBgn0085791	1041	867.43	0.165633	1.105
FBgn0085804	252	78.994	0	0
FBgn0267876	766	592.683	0	0
FBgn0267494	656	482.717	0	0
FBgn0085792	1211	1037.43	3.20989	25.605
FBgn0053013	2636	2462.43	0	0
FBgn0266211	1668	1494.43	1.91456	22
FBgn0265141	1303	1129.43	0	0
FBgn0051292	435.525	262.38	0.01892	0.038
FBgn0053294	1991.38	1817.81	1.43088	20
FBgn0000280	166	13.126	19.8164	2
FBgn0262885	102	39.881	0	0
FBgn0011812	456	282.835	0.459821	1
FBgn0265533	384.5	211.397	0	0
FBgn0052496	778	604.676	1.62361	7.549
FBgn0052009	2997.49	2823.92	0.58171	12.631
FBtr0347033	1076	902.43	0	0
FBgn0262688	493	319.807	0.406661	1
FBgn0053222	544.032	370.814	0.097041	0.276
FBgn0266940	581	407.77	0	0
FBgn0262565	802	628.66	1.02805	4.969
FBgn0263002	361	187.925	0	0
FBgn0084049	531	357.785	19.6791	54.139
FBgn0263211	352	178.927	0.001279	0.002
FBgn0267872	775	601.68	0.001013	0.005
FBgn0262031	330	156.937	39.8175	48.048
FBgn0267014	274	100.973	14.4459	11.216
FBgn0039987	184	20.417	0	0
FBgn0261640	810	636.654	0.402382	1.97
FBgn0052761	71	23.86	0	0
FBgn0267863	274	100.973	0	0
FBgn0052034	74	25.016	0	0
FBgn0262795	735	561.692	0	0
FBgn0261856	450	276.839	0.939558	2
FBgn0051485	73	24.613	0	0
FBgn0267610	864	690.62	0	0
FBgn0262851	1188	1014.43	14.5559	113.538
FBgn0053416	143	43.825	26.7083	9
FBgn0267520	357	183.925	8.97321	12.69
FBgn0085765	30	9.817	13.2471	1
FBgn0267424	659	485.717	0	0
FBgn0030116	1305	1131.43	0	0
FBgn0031135	363	189.924	0	0
FBgn0263213	224	51.095	4.62958	1.819
FBgn0267878	266	92.98	0	0
FBgn0058441	177	16.914	0	0
FBgn0267864	485	311.812	0.000201	0
FBgn0085500	687	513.711	0	0
FBgn0085784	479	305.817	0.003523	0.008
FBgn0262848	1188	1014.43	2.87224	22.404
FBgn0063924	307	133.948	2.43373	2.507
FBgn0262616	554	380.779	0	0
FBgn0267891	718	544.701	0.001327	0.006
FBgn0053491	369	195.921	0.003529	0.005
FBgn0050374	600	426.764	0.304743	1
FBtr0347034	740	566.691	0	0
FBgn0267898	414	240.873	0.000613	0.001
FBgn0260469	925.543	752.151	1.40809	8.144
FBgn0267874	253	79.993	0	0
FBgn0030243	4755.39	4581.82	39.7982	1402.1
FBgn0032269	1867	1693.43	0	0
FBgn0266369	2930	2756.43	21.279	451
FBgn0032596	776.103	602.783	193.532	897
FBgn0033770	665.983	492.704	0.263958	1
FBgn0259237	2786	2612.43	0	0
FBgn0013685	525	351.79	0.73938	2
FBgn0031021	768	594.683	63.9391	292.368
FBgn0033491	3329	3155.43	6.998	169.79
FBgn0051141	961	787.591	0.165128	1
FBgn0284082	778	604.676	0	0
FBgn0036396	1352	1178.43	6.95277	63
FBgn0036641	883.663	710.275	36.8037	201
FBgn0027594	4478.54	4304.97	135.16	4474
