Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	327.577	0	0
FBtr0300738	2350	2168.37	0	0
FBtr0300739	2172	1990.37	1.64891	28.969
FBtr0300737	2184	2002.37	0.00175319	0.0309868
FBtr0300736	2338	2156.37	0	0
FBtr0078628	2467	2285.37	0	0
FBtr0300740	2479	2297.37	0	0
FBtr0078627	2301	2119.37	0	0
FBtr0300741	2313	2131.37	0	0
FBtr0072762	889	707.374	71.096	443.911
FBtr0346821	1270	1088.37	4.23812	40.7149
FBtr0331460	900	718.374	2.30681	14.6273
FBtr0303848	5005	4823.37	4.48457	190.929
FBtr0086122	1465	1283.37	0.617936	7
FBtr0335147	3125	2943.37	0	0
FBtr0081459	3019	2837.37	21.1725	530.262
FBtr0305321	6523	6341.37	1.05958	59.3089
FBtr0083716	5665	5483.37	18.2373	882.691
FBtr0078184	1305	1123.37	0.605098	6
FBtr0081691	765	583.374	0	0
FBtr0085263	1228	1046.37	0	0
FBtr0086342	492	310.61	0	0
FBtr0086343	495	313.61	0	0
FBtr0091847	1023	841.374	0.79537	5.9069
FBtr0072393	1393	1211.37	14.0285	150
FBtr0343502	867	685.374	2.69358e-06	1.62951e-05
FBtr0343753	3569	3387.37	3.31103	98.9984
FBtr0433525	3725	3543.37	0	0
FBtr0113895	961	779.374	24.4955	168.513
FBtr0345179	887	705.374	46.8164	291.487
FBtr0334135	4703	4521.37	0	0
FBtr0334137	4561	4379.37	0.386825	14.953
FBtr0334141	5321	5139.37	0	0
FBtr0334139	4203	4021.37	0	0
FBtr0334140	5704	5522.37	0	0
FBtr0344148	4894	4712.37	0	0
FBtr0334142	5071	4889.37	0	0
FBtr0334138	5563	5381.37	0	0
FBtr0334136	3862	3680.37	3.35676	109.047
FBtr0085105	995	813.374	9.1929	66
FBtr0346720	2745	2563.37	0	0
FBtr0076089	442	260.667	0	0
FBtr0087500	1417	1235.37	11.4633	125
FBtr0073094	1694	1512.37	6.16542	82.3045
FBtr0073093	1577	1395.37	77.188	950.696
FBtr0343515	1092	910.374	0	0
FBtr0072451	975	793.374	10.4242	73
FBtr0071607	2252	2070.37	3.33795	61
FBtr0081516	4704	4522.37	0.150308	6
FBtr0300749	931	749.374	3.45496	22.853
FBtr0346532	1185	1003.37	0.371449	3.28975
FBtr0073076	880	698.374	60.8102	374.857
FBtr0089289	4677	4495.37	0.322405	12.7929
FBtr0100448	4590	4408.37	0.42849	16.6733
FBtr0089290	4681	4499.37	0.000416264	0.0165319
FBtr0089288	4037	3855.37	12.2683	417.497
FBtr0100447	4417	4235.37	2.74168	102.497
FBtr0329933	4663	4481.37	0.0400183	1.58296
FBtr0336949	2826	2644.37	22.8754	533.941
FBtr0088786	1378	1196.37	82.3271	869.383
FBtr0088785	1869	1687.37	11.4483	170.512
FBtr0303077	607	425.43	0	0
FBtr0339716	615	433.43	0	0
FBtr0085459	600	418.43	82.5801	305
FBtr0070973	1218	1036.37	1.20247	11
FBtr0089252	2767	2585.37	3.19131	72.8272
FBtr0334488	2840	2658.37	2.04049	47.8798
FBtr0334489	2902	2720.37	0	0
FBtr0100600	3804	3622.37	3.37422	107.887
FBtr0300305	309	127.745	0	0
FBtr0077162	567	385.43	0	0
FBtr0072277	713	531.43	55.4276	260
FBtr0344898	1082	900.374	0	0
FBtr0086817	1175	993.374	0	0
FBtr0333271	5146	4964.37	0.820005	35.9321
FBtr0072639	5149	4967.37	0.412079	18.0679
FBtr0340000	824	642.374	1.14232	6.47705
FBtr0087390	427	245.667	101.235	219.523
FBtr0070472	3021	2839.37	0.0496867	1.24527
FBtr0331752	4499	4317.37	18.785	715.866
FBtr0070475	3174	2992.37	7.35973	194.392
FBtr0070474	3218	3036.37	0.291431	7.81073
FBtr0302185	2166	1984.37	1.65879	29.0547
FBtr0070471	4805	4623.37	6.44314	262.941
FBtr0112828	2903	2721.37	4.78522	114.945
FBtr0301966	3182	3000.37	0.905828	23.9896
FBtr0070468	3055	2873.37	17.0394	432.163
FBtr0070476	2745	2563.37	0	0
FBtr0070470	3110	2928.37	0	0
FBtr0331751	4750	4568.37	1.17168	47.2466
FBtr0070469	4244	4062.37	13.7187	491.919
FBtr0070467	2929	2747.37	0	0
FBtr0331753	5004	4822.37	1.09947	46.8001
FBtr0070466	2847	2665.37	0	0
FBtr0070473	3091	2909.37	0	0
FBtr0076265	1575	1393.37	56.1022	690
FBtr0331935	1030	848.374	0	0
FBtr0088237	816	634.374	102.153	572
FBtr0081705	1363	1181.37	0	0
FBtr0088524	1299	1117.37	86.0811	849
FBtr0074540	843	661.374	24.3243	142
FBtr0074494	1357	1175.37	0.385552	4
FBtr0085714	3349	3167.37	107.083	2993.78
FBtr0085713	3440	3258.37	861.386	24774.2
FBtr0076256	334	152.732	2.22531	3
FBtr0339552	1718	1536.37	9.79821	132.876
FBtr0078950	1533	1351.37	28.095	335.124
FBtr0070990	1321	1139.37	1.2917	12.9906
FBtr0100409	805	623.374	0	0
FBtr0343330	706	524.43	108.667	503.021
FBtr0304902	1617	1435.37	0.541011	6.85445
FBtr0304901	2286	2104.37	0.169345	3.14555
FBtr0078872	1228	1046.37	0.108271	1
FBtr0077839	2112	1930.37	11.5256	196.385
FBtr0077837	2331	2149.37	1.74594	33.124
FBtr0077838	2235	2053.37	4.88738e-08	8.85819e-07
FBtr0077836	2325	2143.37	27.4586	519.491
FBtr0075133	4018	3836.37	0.309879	10.4934
FBtr0332862	2190	2008.37	3.86444	68.5066
FBtr0087988	1754	1572.37	171.882	2385.54
FBtr0087987	1948	1766.37	474.775	7402.38
FBtr0074688	1633	1451.37	52.6113	674
FBtr0086864	3503	3321.37	13.6099	399
FBtr0083361	1283	1101.37	0	0
FBtr0392904	4164	3982.37	9.19215	323.117
FBtr0084588	2385	2203.37	101.176	1967.74
FBtr0303161	2639	2457.37	9.83819	213.397
FBtr0079257	1918	1736.37	16.1811	248
FBtr0307341	906	724.374	0	0
FBtr0084989	527	345.577	0.274152	0.836252
FBtr0306309	750	568.374	0.537446	2.69631
FBtr0344570	539	357.577	0.0962184	0.303689
FBtr0078090	1219	1037.37	33.9644	311
FBtr0087439	546	364.505	25.4864	82
FBtr0070960	2096	1914.37	0.0138539	0.2341
FBtr0302357	2296	2114.37	0	0
FBtr0302356	2428	2246.37	0.341226	6.7659
FBtr0340571	3830	3648.37	0.00538922	0.173551
FBtr0340572	3825	3643.37	0.0256987	0.826449
FBtr0080267	3305	3123.37	0	0
FBtr0077141	787	605.374	0	0
FBtr0306593	981	799.374	0	0
FBtr0081719	1938	1756.37	80.1776	1243
FBtr0071549	1655	1473.37	34.8324	453
FBtr0308832	1068	886.374	11.4449	89.5425
FBtr0308833	2043	1861.37	30.5914	502.614
FBtr0074921	2263	2081.37	2.05985	37.8432
FBtr0073011	1996	1814.37	0.0624413	1
FBtr0112378	450	268.667	0	0
FBtr0342602	1596	1414.37	0	0
FBtr0080326	1217	1035.37	92.8986	849
FBtr0085405	675	493.43	182.533	795
FBtr0339295	331	149.732	0	0
FBtr0300316	205	29.398	0	0
FBtr0300904	2130	1948.37	0	0
FBtr0081633	2196	2014.37	0	0
FBtr0300905	2052	1870.37	0	0
FBtr0335279	1234	1052.37	0	0
FBtr0335281	1199	1017.37	0.111357	1
FBtr0290216	733	551.43	0	0
FBtr0335280	740	558.43	0	0
FBtr0077120	1711	1529.37	17.5409	236.792
FBtr0081676	887	705.374	0	0
FBtr0076639	2093	1911.37	0.158314	2.67096
FBtr0079280	1148	966.374	0.234468	2
FBtr0304827	5797	5615.37	0	0
FBtr0433494	6405	6223.37	0.537162	29.5075
FBtr0333832	6581	6399.37	0	0
FBtr0433497	5654	5472.37	0	0
FBtr0333833	6118	5936.37	0	0
FBtr0433496	5848	5666.37	0	0
FBtr0304826	8410	8228.37	4.1552e-08	3.01791e-06
FBtr0433495	8302	8120.37	0.142614	10.2221
FBtr0433493	8251	8069.37	8.16573e-09	5.81616e-07
FBtr0300808	2019	1837.37	0	0
FBtr0300809	4061	3879.37	0	0
FBtr0301700	4064	3882.37	0	0
FBtr0072287	5108	4926.37	28.5853	1243
FBtr0343633	2816	2634.37	0	0
FBtr0074281	2640	2458.37	67.0269	1454.45
FBtr0343632	2730	2548.37	3.34984	75.3508
FBtr0074279	3898	3716.37	37.2211	1220.98
FBtr0074280	3895	3713.37	1.09709	35.9595
FBtr0072238	1035	853.374	0	0
