Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.323	0	0
FBtr0300738	2350	2179.07	0	0
FBtr0300739	2172	2001.07	2.45028	40.9703
FBtr0300737	2184	2013.07	0.00176737	0.0297288
FBtr0300736	2338	2167.07	0	0
FBtr0078628	2467	2296.07	0	0
FBtr0300740	2479	2308.07	0	0
FBtr0078627	2301	2130.07	0	0
FBtr0300741	2313	2142.07	0	0
FBtr0072762	889	718.146	68.8202	412.972
FBtr0346821	1270	1099.07	3.67087	33.7121
FBtr0331460	900	729.146	0	0
FBtr0303848	5005	4834.07	3.20353	129.4
FBtr0086122	1465	1294.07	0.832327	9
FBtr0335147	3125	2954.07	0	0
FBtr0081459	3019	2848.07	21.7747	518.197
FBtr0305321	6523	6352.07	0	0
FBtr0083716	5665	5494.07	15.5311	713
FBtr0078184	1305	1134.07	0.316585	3
FBtr0081691	765	594.146	0	0
FBtr0085263	1228	1057.07	0.169823	1.5
FBtr0086342	492	321.389	0	0
FBtr0086343	495	324.356	0	0
FBtr0091847	1023	852.065	0.751758	5.35233
FBtr0072393	1393	1222.07	76.7365	783.59
FBtr0343502	867	696.146	0	0
FBtr0343753	3569	3398.07	4.04331	114.805
FBtr0433525	3725	3554.07	0	0
FBtr0113895	961	790.146	22.6414	149.487
FBtr0345179	887	716.146	49.5507	296.513
FBtr0334135	4703	4532.07	0	0
FBtr0334137	4561	4390.07	0.584174	21.4292
FBtr0334141	5321	5150.07	0	0
FBtr0334139	4203	4032.07	0	0
FBtr0334140	5704	5533.07	0	0
FBtr0344148	4894	4723.07	0	0
FBtr0334142	5071	4900.07	0	0
FBtr0334138	5563	5392.07	0	0
FBtr0334136	3862	3691.07	3.97414	122.571
FBtr0085105	995	824.065	4.21157	29
FBtr0346720	2745	2574.07	0	0
FBtr0076089	442	271.42	0	0
FBtr0087500	1417	1246.07	8.73993	91
FBtr0073094	1694	1523.07	5.50051	70.0026
FBtr0073093	1577	1406.07	75.9217	891.997
FBtr0343515	1092	921.065	0	0
FBtr0072451	975	804.065	9.07917	61
FBtr0071607	2252	2081.07	2.93287	51
FBtr0081516	4704	4533.07	0.105603	4
FBtr0300749	931	760.146	3.32507	21.1198
FBtr0346532	1185	1014.07	0	0
FBtr0073076	880	709.146	59.2149	350.88
FBtr0089289	4677	4506.07	0.726307	27.347
FBtr0100448	4590	4419.07	1.48024	54.6583
FBtr0089290	4681	4510.07	0.0109063	0.411009
FBtr0089288	4037	3866.07	9.38218	303.086
FBtr0100447	4417	4246.07	1.21839	43.2281
FBtr0329933	4663	4492.07	1.37774	51.7136
FBtr0336949	2826	2655.07	18.9865	421.224
FBtr0088786	1378	1207.07	68.6211	692.119
FBtr0088785	1869	1698.07	14.6049	207.227
FBtr0303077	607	436.253	0	0
FBtr0339716	615	444.253	0	0
FBtr0085459	600	429.253	69.7002	250
FBtr0070973	1218	1047.07	0.228593	2
FBtr0089252	2767	2596.07	0.506761	10.9929
FBtr0334488	2840	2669.07	1.50634	33.5949
FBtr0334489	2902	2731.07	0.88649	20.2301
FBtr0100600	3804	3633.07	4.15654	126.182
FBtr0300305	309	138.56	0	0
FBtr0077162	567	396.253	0	0
FBtr0072277	713	542.146	48.564	220
FBtr0344898	1082	911.065	0	0
FBtr0086817	1175	1004.07	0	0
FBtr0333271	5146	4975.07	0.48679	20.2364
FBtr0072639	5149	4978.07	0.234725	9.76364
FBtr0340000	824	653.146	0.603319	3.29268
FBtr0087390	427	256.42	282.696	605.707
FBtr0070472	3021	2850.07	1.87341e-07	4.4615e-06
FBtr0331752	4499	4328.07	19.6661	711.219
FBtr0070475	3174	3003.07	6.43227	161.407
FBtr0070474	3218	3047.07	1.04932	26.7166
FBtr0302185	2166	1995.07	6.7431e-08	1.12411e-06
FBtr0070471	4805	4634.07	5.14398	199.184
FBtr0112828	2903	2732.07	5.51969	126.008
FBtr0301966	3182	3011.07	0	0
FBtr0070468	3055	2884.07	14.219	342.663
FBtr0070476	2745	2574.07	0.293444	6.31157
FBtr0070470	3110	2939.07	0	0
FBtr0331751	4750	4579.07	0.584833	22.377
FBtr0070469	4244	4073.07	9.39828	319.862
FBtr0070467	2929	2758.07	0	0
FBtr0331753	5004	4833.07	0.498793	20.1435
FBtr0070466	2847	2676.07	5.7738	129.107
FBtr0070473	3091	2920.07	0	0
FBtr0076265	1575	1404.07	49.0956	576
FBtr0331935	1030	859.065	0	0
FBtr0088237	816	645.146	92.5658	499
FBtr0081705	1363	1192.07	0	0
FBtr0088524	1299	1128.07	69.0644	651
FBtr0074540	843	672.146	19.4075	109
FBtr0074494	1357	1186.07	0.302705	3
FBtr0085714	3349	3178.07	116.942	3105.45
FBtr0085713	3440	3269.07	1028.36	28090.5
FBtr0076256	334	163.545	2.92705	4
FBtr0339552	1718	1547.07	10.9973	142.163
FBtr0078950	1533	1362.07	23.621	268.837
FBtr0070990	1321	1150.07	0.705944	6.78399
FBtr0100409	805	634.146	0.503565	2.66831
FBtr0343330	706	535.2	105.453	471.591
FBtr0304902	1617	1446.07	0.0827599	1
FBtr0304901	2286	2115.07	0	0
FBtr0078872	1228	1057.07	0.113215	1
FBtr0077839	2112	1941.07	6.02711	97.7555
FBtr0077837	2331	2160.07	6.19667	111.845
FBtr0077838	2235	2064.07	1.70565	29.4175
FBtr0077836	2325	2154.07	18.4999	332.982
FBtr0075133	4018	3847.07	0.589215	18.9407
FBtr0332862	2190	2019.07	4.50827	76.0593
FBtr0087988	1754	1583.07	123.899	1638.92
FBtr0087987	1948	1777.07	384.938	5715.92
FBtr0074688	1633	1462.07	48.3758	591
FBtr0086864	3503	3332.07	11.0982	309
FBtr0083361	1283	1112.07	0	0
FBtr0392904	4164	3993.07	4.65222	155.224
FBtr0084588	2385	2214.07	43.0302	796.079
FBtr0303161	2639	2468.07	38.5345	794.691
FBtr0079257	1918	1747.07	17.9473	262
FBtr0307341	906	735.146	0	0
FBtr0084989	527	356.253	0.295524	0.879718
FBtr0306309	750	579.146	0.82657	4
FBtr0344570	539	368.253	0	0
FBtr0078090	1219	1048.07	30.7165	269
FBtr0087439	546	375.253	22.0056	69
FBtr0070960	2096	1925.07	0	0
FBtr0302357	2296	2125.07	0	0
FBtr0302356	2428	2257.07	0.530229	10
FBtr0340571	3830	3659.07	0.0105105	0.321356
FBtr0340572	3825	3654.07	0.0549781	1.67864
FBtr0080267	3305	3134.07	0	0
FBtr0077141	787	616.146	0.194234	1
FBtr0306593	981	810.065	0	0
FBtr0081719	1938	1767.07	63.4592	937
FBtr0071549	1655	1484.07	33.4659	415
FBtr0308832	1068	897.065	12.3194	92.3438
FBtr0308833	2043	1872.07	26.4403	413.6
FBtr0074921	2263	2092.07	3.2639	57.0563
FBtr0073011	1996	1825.07	0	0
FBtr0112378	450	279.42	0	0
FBtr0342602	1596	1425.07	0	0
FBtr0080326	1217	1046.07	81.7218	714.314
FBtr0085405	675	504.253	183.696	774
FBtr0339295	331	160.545	0	0
FBtr0300316	205	35.2619	0	0
FBtr0300904	2130	1959.07	0	0
FBtr0081633	2196	2025.07	0	0
FBtr0300905	2052	1881.07	0	0
FBtr0335279	1234	1063.07	0	0
FBtr0335281	1199	1028.07	0	0
FBtr0290216	733	562.146	0	0
FBtr0335280	740	569.146	0	0
FBtr0077120	1711	1540.07	16.4096	211.168
FBtr0081676	887	716.146	0	0
FBtr0076639	2093	1922.07	0.186793	3
FBtr0079280	1148	977.065	0	0
