Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	249.975	0	0
FBgn0283429	369	195.975	1.87382	2.82364
FBgn0267873	257	84.0651	0	0
FBgn0267896	719	545.779	0	0
FBgn0260225	1197	1023.67	0	0
FBgn0262849	1188	1014.67	5.76107	44.9478
FBgn0040928	1085	911.666	2.99572	21
FBgn0262789	532	358.827	0.362438	1
FBgn0058461	391	217.975	0.890355	1.49228
FBgn0042701	620	446.827	0.761228	2.61539
FBgn0263493	352	178.975	0	0
FBgn0265917	359	185.975	0	0
FBgn0262163	610	436.827	0	0
FBgn0085831	237	64.0726	0	0
FBgn0267108	321	147.991	13.2766	15.1079
FBgn0051032	770	596.666	12.424	57
FBgn0266102	391	217.975	3.43733	5.76115
FBgn0053867	526	352.827	0	0
FBgn0267026	323	149.991	0	0
FBgn0267519	2689	2515.67	2396.46	46356
FBgn0058005	1227	1053.67	0	0
FBgn0039979	803	629.666	8.238	39.8854
FBgn0053318	523	349.827	1.17543	3.16177
FBgn0053805	440	266.949	0.919687	1.88778
FBgn0267419	780	606.666	0	0
FBgn0267892	760	586.666	0	0
FBgn0267902	582	408.827	0	0
FBgn0267867	274	101.038	2.57434	2
FBgn0262964	777	603.666	0.86175	4
FBgn0085790	1041	867.666	0	0
FBgn0267879	601	427.827	0	0
FBgn0267886	266	93.0566	0	0
FBgn0085291	1130	956.666	0	0
FBgn0263093	1182	1008.67	37.0779	287.57
FBgn0267885	690	516.779	0	0
FBgn0030117	636	462.827	0	0
FBgn0058182	291	118.004	0	0
FBgn0052518	75	20.7895	6.25568	1
FBgn0027934	1345	1171.67	0	0
FBgn0085340	423	249.975	0	0
FBgn0263744	845	671.666	0.193626	1
FBgn0263207	354	180.975	0	0
FBgn0263210	221	48.2469	6.76339	2.50909
FBgn0267427	697	523.779	0	0
FBgn0263975	1131	957.666	2.71603	20
FBgn0267869	420	246.975	0	0
FBgn0037560	559.75	460.723	45.9615	285
FBgn0263212	220	47.3134	0	0
FBgn0085732	528.078	466.038	64.8345	649.089
FBgn0267593	610	436.827	0	0
FBgn0058100	394	220.975	7.65397	13.005
FBgn0264888	465	291.92	0	0
FBgn0037143	1446	1272.67	0	0
FBgn0262510	501	327.86	2.19495	5.53344
FBgn0263771	276	103.038	0	0
FBgn0053315	421	247.975	0.524458	1
FBgn0267051	629	455.827	0	0
FBgn0050029	480	306.901	0	0
FBgn0085791	1041	867.666	0	0
FBgn0085804	252	79.0651	0	0
FBgn0267876	766	592.666	0	0
FBgn0267494	656	482.779	0	0
FBgn0085792	1211	1037.67	3.4248	27.3259
FBgn0053013	2636	2462.67	0	0
FBgn0266211	1668	1494.67	1.91424	22
FBgn0267884	453	279.949	0	0
FBgn0265141	1303	1129.67	0	0
FBgn0051292	418	244.962	0	0
FBgn0053294	1610.37	1471.85	1.41227	20
FBgn0000280	166	12.8974	10.0836	1
FBgn0262885	102	36.9469	0	0
FBgn0262852	1188	1014.67	5.76107	44.9478
FBgn0011812	456	282.949	0.459631	1
FBgn0265533	384.5	211.475	0	0
FBgn0052496	778	604.666	1.74725	8.12366
FBgn0052009	2960	2786.67	0.162089	3.47313
FBgn0262688	493	319.86	0.406591	1
FBgn0053222	541	367.827	0.00365478	0.0103368
FBgn0266940	581	407.827	0	0
FBgn0051615	315	141.991	0	0
FBgn0262565	802	628.666	1.03435	5
FBgn0263002	361	187.975	0	0
FBgn0053498	369	195.975	0	0
FBgn0084049	531	357.827	19.3229	53.165
FBgn0263211	352	178.975	0	0
FBgn0267872	775	601.666	0	0
FBgn0262031	330	156.991	37.8922	45.7411
FBgn0267014	274	101.038	14.4482	11.2248
FBgn0039987	184	20.3853	0	0
FBgn0261640	810	636.666	0	0
FBgn0052761	71	19.2687	0	0
FBgn0267863	274	101.038	0	0
FBgn0052034	74	20.8889	0	0
FBgn0262795	735	561.724	0	0
FBgn0261856	450	276.949	0.939178	2
FBgn0051485	73	20.169	0	0
FBgn0267610	864	690.666	0	0
FBgn0262851	1188	1014.67	8.6416	67.4216
FBgn0053416	143	41.7197	28.0556	9
FBgn0267520	357	183.975	10.3467	14.6367
FBgn0267054	629	455.827	0	0
FBgn0085765	30	31	1.39841	0.333333
FBgn0267424	659	485.779	0	0
FBgn0030116	1305	1131.67	0	0
FBgn0031135	363	189.975	0	0
FBgn0263213	224	51.1487	2.93828	1.15561
FBgn0267878	266	93.0566	0	0
FBgn0058441	177	16.7873	0	0
FBgn0267864	485	311.86	0	0
FBgn0085500	687	513.779	0	0
FBgn0085784	479	305.891	0	0
FBgn0262848	1188	1014.67	1.86993e-08	1.45892e-07
FBgn0063924	307	133.991	2.43089	2.50451
FBgn0262616	554	380.827	0	0
FBgn0267891	718	544.779	0	0
FBgn0053491	369	195.975	1.87382	2.82364
FBgn0050374	600	426.827	0.304696	1
FBgn0267898	414	240.975	0	0
FBgn0260469	463.5	376.833	1.55304	9
FBgn0267874	253	80.0651	0	0
FBgn0030243	4271.48	4115.43	39.7548	1397.29
FBgn0032269	1867	1693.67	0	0
FBgn0266369	2930	2756.67	21.2298	450
FBgn0032596	739.579	574.385	193.13	895
FBgn0033770	631	457.827	0.284065	1
FBgn0259237	2786	2612.67	0	0
FBgn0013685	525	351.827	0.739298	2
