Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	246.02	0	0
FBgn0283429	369	192.02	0	0
FBgn0267873	257	80.1052	0	0
FBgn0267896	719	541.801	0	0
FBgn0260225	1197	1019.8	0	0
FBgn0262849	1188	1010.8	4.47654	30.3859
FBgn0040928	1085	907.801	4.26499	26
FBgn0262789	532	354.893	0.839204	2
FBgn0058461	391	214.02	0	0
FBgn0042701	620	442.852	0	0
FBgn0263493	352	175.038	0	0
FBgn0265917	359	182.02	0	0
FBgn0262163	610	432.852	0.688059	2
FBgn0085831	237	60.2656	0	0
FBgn0267108	321	144.053	3.38862	3.27799
FBgn0051032	770	592.801	12.8114	51
FBgn0266102	391	214.02	0	0
FBgn0053867	526	348.928	0	0
FBgn0267026	323	146.053	0	0
FBgn0267519	2689	2511.8	3564.62	60126.1
FBgn0058005	1227	1049.8	0	0
FBgn0039979	803	625.801	7.02368	29.5165
FBgn0053318	523	345.928	0	0
FBgn0053805	440	263.02	0	0
FBgn0267419	780	602.801	0	0
FBgn0267892	760	582.801	0	0
FBgn0267902	582	404.893	0	0
FBgn0267867	274	97.0874	0.862642	0.562416
FBgn0262964	777	599.801	0.496545	2
FBgn0085790	1041	863.801	0.303517	1.7606
FBgn0267879	601	423.852	0	0
FBgn0267886	266	89.0965	0	0
FBgn0085291	1130	952.801	0	0
FBgn0263093	1182	1004.8	26.9847	182.08
FBgn0267885	690	512.852	0	0
FBgn0030117	636	458.852	0	0
FBgn0058182	291	114.067	0	0
FBgn0052518	75	23.6914	6.28556	1
FBgn0027934	1345	1167.8	0	0
FBgn0085340	423	246.02	0	0
FBgn0263744	845	667.801	0	0
FBgn0263207	354	177.02	0.667613	0.793618
FBgn0263210	221	45.6108	0	0
FBgn0267427	697	519.801	0	0
FBgn0263975	1131	953.801	3.59092	23
FBgn0267869	420	243.02	0	0
FBgn0037560	692.259	564.759	47.4308	250
FBgn0263212	220	44.7493	0	0
FBgn0085732	561.903	494.574	66.8943	584.713
FBgn0267593	610	432.852	0	0
FBgn0058100	394	217.02	7.61325	11.0952
FBgn0264888	465	288.02	1.03405	2
FBgn0037143	1446	1268.8	0.234732	2
FBgn0262510	501	323.961	5.1543	11.2132
FBgn0263771	276	99.0874	0	0
FBgn0053315	421	244.02	0.610253	1
FBgn0267051	629	451.852	0	0
FBgn0050029	480	302.957	0	0
FBgn0085791	1041	863.801	0	0
FBgn0085804	252	75.1052	0	0
FBgn0267876	766	588.801	0	0
FBgn0267494	656	478.852	0	0
FBgn0085792	1211	1033.8	1.84195	12.7873
FBgn0053013	2636	2458.8	0	0
FBgn0266211	1668	1490.8	1.29855	13
FBgn0267884	453	276.02	0	0
FBgn0265141	1303	1125.8	0	0
FBgn0051292	452	275.02	3.7201	6.87041
FBgn0053294	1085.38	986.66	2.85885	34
FBgn0000280	166	25.3227	5.88064	1
FBgn0262885	102	40.8405	0	0
FBgn0262852	1188	1010.8	4.47654	30.3859
FBgn0011812	456	279.02	0	0
FBgn0265533	384.5	207.529	0	0
FBgn0052496	778	600.801	1.2393	5
FBgn0052009	1519	1430.4	0.887288	17.0458
FBgn0262688	493	315.961	0.471304	1
FBgn0053222	541	363.893	1.62347	3.96718
FBgn0266940	581	403.893	0	0
FBgn0051615	315	138.067	0	0
FBgn0262565	802	624.801	0	0
FBgn0263002	361	184.02	0.809227	1
FBgn0053498	369	192.02	0	0
FBgn0084049	531	353.893	15.3544	36.4896
FBgn0263211	352	175.038	0	0
FBgn0267872	775	597.801	0	0
FBgn0262031	330	153.038	30.5615	31.4078
FBgn0267014	274	97.0874	6.18029	4.02936
FBgn0039987	184	23.2272	0	0
FBgn0261640	810	632.801	2.51177e-09	1.06736e-08
FBgn0052761	71	21.4096	0	0
FBgn0267863	274	97.0874	0	0
FBgn0052034	74	23.387	0	0
FBgn0262795	735	557.801	0	0
FBgn0261856	450	273.02	1.48376	2.72033
FBgn0051485	73	22.6473	0	0
FBgn0267610	864	686.801	0	0
FBgn0262851	1188	1010.8	9.1121	61.8512
FBgn0053416	143	59.6227	7.24183	2.89951
FBgn0267520	357	180.02	4.36592	5.27789
FBgn0267054	629	451.852	0	0
FBgn0085765	30	31	0	0
FBgn0267424	659	481.852	0	0
FBgn0030116	1305	1127.8	0.132039	1
FBgn0031135	363	186.02	0	0
FBgn0263213	224	48.1693	0	0
FBgn0267878	266	89.0965	0	0
FBgn0058441	177	22.1898	0	0
FBgn0267864	485	307.961	0	0
FBgn0085500	687	509.852	0	0
FBgn0085784	479	301.961	0	0
FBgn0262848	1188	1010.8	0.00164498	0.0111658
FBgn0063924	307	130.067	0.589256	0.514678
FBgn0262616	554	376.893	0	0
FBgn0267891	718	540.801	0	0
FBgn0053491	369	192.02	0	0
FBgn0050374	600	422.852	0	0
FBgn0267898	414	237.02	0	0
FBgn0260469	912	734.801	1.41861	7
FBgn0267874	253	76.1052	0	0
FBgn0030243	4288.5	4127.27	50.7558	1546.07
FBgn0032269	1867	1689.8	0	0
FBgn0266369	2930	2752.8	18.2302	337
FBgn0032596	774	596.801	133.743	536
FBgn0033770	357.5	268.901	0.276894	1
FBgn0259237	2786	2608.8	0	0
FBgn0013685	525	347.928	1.28401	3
FBgn0031021	768	590.801	83.43	331
FBgn0033491	3329	3151.8	7.58888	160.621
FBgn0051141	961	783.801	0	0
FBgn0284082	778	600.801	0	0
FBgn0036396	1352	1174.8	7.98568	63
FBgn0036641	459.139	367.848	24.4017	117
FBgn0027594	1405.79	1350.6	211.239	6151
FBgn0261954	1702.31	1664.17	59.4558	3087
FBgn0029987	639	461.852	0.644856	2
FBgn0031660	1138	960.801	124.767	805
FBgn0038619	543.394	440.408	16.3108	83
FBgn0001341	3680	3502.8	8.75764	206
FBgn0037541	1498.02	1460.2	31.0028	1424.5
FBgn0016701	842.424	715.808	63.6224	428
FBgn0039110	885	796.4	54.3889	581.751
FBgn0038839	2837.5	2660.3	0	0
FBgn0264307	805.173	765.3	11.7807	269.066
FBgn0263355	1661.61	1579.78	56.4917	1297.83
FBgn0032482	677.191	622.235	191.345	2577.99
FBgn0050082	843	665.801	1.11831	5
FBgn0033698	5896	5718.8	20.7273	796
FBgn0032240	268.724	179.919	134.274	323.544
FBgn0029925	1070	892.801	21.6832	130
FBgn0039017	1757	1579.8	7.44664	79
FBgn0259711	908	730.801	11.2073	55
FBgn0051140	1385.29	1346.73	8.03567	334
FBgn0004379	1017.15	955.258	22.8694	420
FBgn0036158	782	604.801	0	0
FBgn0031816	1593.33	1453.04	7.46476	92
FBgn0034923	835.5	746.9	24.2242	243
FBgn0039582	1151	973.801	0	0
FBgn0051635	1162.98	1130.29	12.6467	520.401
FBgn0263117	1682.33	1623.27	0.0319813	1.04586
FBgn0030259	717	539.801	0.275868	1
FBgn0029858	1106.3	1007.82	12.7751	155.563
FBgn0260745	355.384	333.75	252.487	4635
FBgn0015791	558.014	471.231	134.492	869
FBgn0051453	1372.55	1219.22	52.6326	498
FBgn0025574	1201.92	1100.8	17.4464	226
FBgn0039637	1642.58	1550.77	107.011	2151
FBgn0016975	3062.89	2996.58	1.80376	97
FBgn0023095	1613.67	1554.6	1.88386	59.0001
FBgn0014022	1444	1266.8	16.5747	141
FBgn0035134	1243	1065.8	0.279441	2
FBgn0044826	1839.26	1750.66	76.7683	1805
FBgn0030937	1405	1227.8	0	0
FBgn0085213	715	537.801	0	0
FBgn0039875	1771.77	1641.97	69.7547	1050
FBgn0037736	3598	3420.8	0.130596	3
FBgn0024732	1435.33	1317.2	19.5205	259
FBgn0053700	1116	938.801	0	0
FBgn0260747	988.631	813.452	292.097	1614
FBgn0038011	1767	1589.8	0	0
FBgn0066365	896.667	837.6	0.0593548	1.00156
FBgn0039863	2975.25	2885.36	38.3262	1464
FBgn0037721	423.5	334.901	0.889303	4
FBgn0036459	2408	2230.8	0	0
FBgn0038291	1731	1553.8	20.0303	209
