Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	338.422	0.000000	0.000
FBtr0300738	2350	2178.997	0.260886	4.756
FBtr0300739	2172	2000.997	0.409184	6.850
FBtr0300737	2184	2012.997	0.358921	6.044
FBtr0300736	2338	2166.997	0.287448	5.211
FBtr0078628	2467	2295.997	0.234793	4.510
FBtr0300740	2479	2307.997	0.216292	4.176
FBtr0078627	2301	2129.997	0.307546	5.480
FBtr0300741	2313	2141.997	0.277550	4.973
FBtr0072762	889	718.215	68.416149	411.068
FBtr0346821	1270	1098.997	3.791791	34.861
FBtr0331460	900	729.214	0.292969	1.787
FBtr0303848	5005	4833.997	5.046729	204.088
FBtr0086122	1465	1293.997	0.831398	9.000
FBtr0335147	3125	2953.997	2.337081	57.754
FBtr0081459	3019	2847.997	19.325668	460.441
FBtr0305321	6523	6351.997	0.474550	25.217
FBtr0083716	5665	5493.997	14.964522	687.783
FBtr0078184	1305	1133.997	0.316235	3.000
FBtr0081691	765	594.301	0.000000	0.000
FBtr0085263	1228	1056.997	0.339272	3.000
FBtr0086342	492	321.437	0.000000	0.000
FBtr0086343	495	324.434	0.000000	0.000
FBtr0091847	1023	851.997	1.342762	9.571
FBtr0072393	1393	1221.997	76.708037	784.172
FBtr0343502	867	696.223	0.443031	2.580
FBtr0343753	3569	3397.997	3.734247	106.152
FBtr0433525	3725	3553.997	0.254355	7.562
FBtr0113895	961	790.188	22.882976	151.267
FBtr0345179	887	716.215	49.190995	294.733
FBtr0334135	4703	4531.997	0.322357	12.222
FBtr0334137	4561	4389.997	0.751683	27.606
FBtr0334141	5321	5149.997	0.211147	9.097
FBtr0334139	4203	4031.997	0.571339	19.271
FBtr0334140	5704	5532.997	0.174395	8.072
FBtr0344148	4894	4722.997	0.276960	10.943
FBtr0334142	5071	4899.997	0.245165	10.050
FBtr0334138	5563	5391.997	0.186306	8.404
FBtr0334136	3862	3690.997	1.241535	38.336
FBtr0085105	995	824.143	4.206252	29.000
FBtr0346720	2745	2573.997	0.000000	0.000
FBtr0076089	442	271.458	0.000000	0.000
FBtr0087500	1417	1245.997	8.730202	91.000
FBtr0073094	1694	1522.997	5.935852	75.628
FBtr0073093	1577	1405.997	75.443397	887.372
FBtr0343515	1092	920.997	0.240840	1.856
FBtr0072451	975	804.161	8.642997	58.144
FBtr0071607	2252	2080.997	2.929534	51.000
FBtr0081516	4704	4532.997	0.105481	4.000
FBtr0300749	931	760.212	2.529220	16.085
FBtr0346532	1185	1013.997	0.146846	1.246
FBtr0073076	880	709.216	59.946986	355.669
FBtr0089289	4677	4505.997	1.161303	43.776
FBtr0100448	4590	4418.997	1.815536	67.116
FBtr0089290	4681	4509.997	1.155709	43.604
FBtr0089288	4037	3865.997	7.596687	245.689
FBtr0100447	4417	4245.997	1.456385	51.732
FBtr0329933	4663	4491.997	1.212574	45.567
FBtr0336949	2826	2654.997	18.257288	405.509
FBtr0088786	1378	1206.997	68.622104	692.900
FBtr0088785	1869	1697.997	14.739832	209.377
FBtr0303077	607	436.379	0.000000	0.000
FBtr0339716	615	444.375	0.064163	0.239
FBtr0085459	600	429.381	69.810093	250.761
FBtr0070973	1218	1046.997	0.228341	2.000
FBtr0089252	2767	2595.997	1.083938	23.540
FBtr0334488	2840	2668.997	1.379686	30.806
FBtr0334489	2902	2730.997	1.014594	23.180
FBtr0100600	3804	3632.997	3.766543	114.474
FBtr0300305	309	138.554	0.000000	0.000
FBtr0077162	567	396.390	0.000000	0.000
FBtr0072277	713	542.322	48.491456	220.000
FBtr0344898	1082	910.997	0.000000	0.000
FBtr0086817	1175	1003.997	0.000000	0.000
FBtr0333271	5146	4974.997	0.368699	15.345
FBtr0072639	5149	4977.997	0.372407	15.509
FBtr0340000	824	653.261	0.622107	3.400
FBtr0087390	427	256.468	282.728001	606.600
FBtr0070472	3021	2849.997	2.201279	52.483
FBtr0331752	4499	4327.997	16.188799	586.141
FBtr0070475	3174	3002.997	6.085736	152.886
FBtr0070474	3218	3046.997	1.173283	29.907
FBtr0302185	2166	1994.997	0.398210	6.646
FBtr0070471	4805	4633.997	8.356728	323.961
FBtr0112828	2903	2731.997	5.693546	130.126
FBtr0301966	3182	3010.997	0.695742	17.525
FBtr0070468	3055	2883.997	9.325553	224.993
FBtr0070476	2745	2573.997	0.566534	12.199
FBtr0070470	3110	2938.997	1.282005	31.520
FBtr0331751	4750	4578.997	0.898404	34.415
FBtr0070469	4244	4072.997	9.149866	311.766
FBtr0070467	2929	2757.997	0.458147	10.571
FBtr0331753	5004	4832.997	0.534797	21.623
FBtr0070466	2847	2675.997	4.014700	89.875
FBtr0070473	3091	2919.997	1.449858	35.417
FBtr0076265	1575	1403.997	49.040556	575.999
FBtr0331935	1030	858.997	0.161421	1.160
FBtr0088237	816	645.268	92.595692	499.840
FBtr0081705	1363	1191.997	0.000000	0.000
FBtr0088524	1299	1127.997	69.093877	652.000
FBtr0074540	843	672.247	19.381945	109.000
FBtr0074494	1357	1185.997	0.302369	3.000
FBtr0085714	3349	3177.997	129.795072	3450.737
FBtr0085713	3440	3268.997	1016.197046	27790.263
FBtr0076256	334	163.543	2.923660	4.000
FBtr0339552	1718	1546.997	11.307930	146.343
FBtr0078950	1533	1361.997	23.227725	264.657
FBtr0070990	1321	1149.997	0.751836	7.233
FBtr0100409	805	634.276	0.725153	3.848
FBtr0343330	706	535.329	105.609594	472.960
FBtr0304902	1617	1445.997	0.041609	0.503
FBtr0304901	2286	2114.997	0.028071	0.497
FBtr0078872	1228	1056.997	0.113091	1.000
FBtr0077839	2112	1940.997	4.011528	65.138
FBtr0077837	2331	2159.997	6.298105	113.805
FBtr0077838	2235	2063.997	6.451052	111.388
FBtr0077836	2325	2153.997	15.686697	282.668
FBtr0075133	4018	3846.997	0.685647	22.066
FBtr0332862	2190	2018.997	4.318117	72.934
FBtr0087988	1754	1582.997	126.112971	1670.090
FBtr0087987	1948	1776.997	383.145992	5695.753
FBtr0074688	1633	1461.997	48.321551	591.000
FBtr0086864	3503	3331.997	11.085459	309.000
FBtr0083361	1283	1111.997	0.000000	0.000
FBtr0392904	4164	3992.997	4.667020	155.897
FBtr0084588	2385	2213.997	42.116274	780.058
FBtr0303161	2639	2467.997	39.394860	813.363
FBtr0079257	1918	1746.997	17.995480	263.000
FBtr0307341	906	735.214	0.052186	0.321
FBtr0084989	527	356.406	0.059525	0.177
FBtr0306309	750	579.305	0.808900	3.920
FBtr0344570	539	368.399	0.025909	0.080
FBtr0078090	1219	1047.997	30.796662	270.000
FBtr0087439	546	375.396	21.971454	69.000
FBtr0070960	2096	1924.997	0.112219	1.807
FBtr0302357	2296	2124.997	0.213100	3.788
FBtr0302356	2428	2256.997	0.180573	3.409
FBtr0340571	3830	3658.997	0.032665	1.000
FBtr0340572	3825	3653.997	0.032718	1.000
FBtr0080267	3305	3133.997	0.000000	0.000
FBtr0077141	787	616.283	0.100985	0.521
FBtr0306593	981	810.156	0.070729	0.479
FBtr0081719	1938	1766.997	63.522799	939.000
FBtr0071549	1655	1483.997	33.589451	417.000
FBtr0308832	1068	896.997	12.238471	91.837
FBtr0308833	2043	1871.997	25.770603	403.580
FBtr0074921	2263	2091.997	3.918800	68.583
FBtr0073011	1996	1824.997	0.000000	0.000
FBtr0112378	450	279.456	0.000000	0.000
FBtr0342602	1596	1424.997	0.216254	2.578
FBtr0080326	1217	1045.997	82.366131	720.741
FBtr0085405	675	504.338	183.687630	775.000
FBtr0339295	331	160.546	0.000000	0.000
FBtr0300316	205	35.296	0.000000	0.000
FBtr0300904	2130	1958.997	0.000000	0.000
FBtr0081633	2196	2024.997	0.000000	0.000
FBtr0300905	2052	1880.997	0.000000	0.000
FBtr0335279	1234	1062.997	0.081404	0.724
FBtr0335281	1199	1027.997	0.085530	0.736
FBtr0290216	733	562.313	0.000000	0.000
FBtr0335280	740	569.308	0.000000	0.000
FBtr0077120	1711	1539.997	16.468846	212.170
FBtr0081676	887	716.215	0.000000	0.000
FBtr0076639	2093	1921.997	0.168133	2.703
FBtr0079280	1148	976.997	0.000000	0.000
FBtr0304827	5797	5625.997	0.082303	3.874
FBtr0433494	6405	6233.997	0.105067	5.479
FBtr0333832	6581	6409.997	0.092295	4.949
FBtr0433497	5654	5482.997	0.094197	4.321
FBtr0333833	6118	5946.997	0.075201	3.741
FBtr0433496	5848	5676.997	0.064915	3.083
FBtr0304826	8410	8238.997	0.082014	5.653
FBtr0433495	8302	8130.997	0.083845	5.703
FBtr0433493	8251	8079.997	0.098599	6.665
FBtr0300808	2019	1847.997	0.000000	0.000
FBtr0300809	4061	3889.997	0.015365	0.500
FBtr0301700	4064	3892.997	0.015353	0.500
FBtr0072287	5108	4936.997	26.367247	1089.000
FBtr0343633	2816	2644.997	8.912699	197.213
FBtr0074281	2640	2468.997	55.395197	1144.176
FBtr0343632	2730	2558.997	1.308754	28.017
FBtr0074279	3898	3726.997	41.252769	1286.211
FBtr0074280	3895	3723.997	2.579995	80.376
FBtr0072238	1035	863.997	0.000000	0.000
FBtr0308073	1317	1145.997	0.829755	7.955
FBtr0082360	764	593.301	78.827725	391.250
FBtr0082361	1024	852.997	1.933189	13.795
FBtr0079938	1428	1256.997	2.852902	30.000
FBtr0077227	1279	1107.997	159.881504	1481.961
FBtr0091702	1278	1106.997	5.403292	50.039
FBtr0074882	2425	2253.997	13.210797	249.105
FBtr0332153	3588	3416.997	2.019241	57.721
FBtr0310476	2042	1870.997	5.818846	91.077
FBtr0100666	2416	2244.997	7.994425	150.142
FBtr0332726	2033	1861.997	3.977345	61.954
FBtr0080287	1089	917.997	15.768303	121.095
FBtr0309307	5887	5715.997	0.053997	2.582
FBtr0300898	5037	4865.997	0.010297	0.419
FBtr0080024	1050	878.997	6.824091	50.180
FBtr0077389	2263	2091.997	84.338356	1476.000
FBtr0290204	1958	1786.997	0.000000	0.000
FBtr0086689	848	677.241	31.919029	180.840
FBtr0306636	1574	1402.997	7.689852	90.256
FBtr0086687	1472	1300.997	21.234748	231.113
FBtr0086690	2195	2023.997	0.612121	10.364
FBtr0086686	1532	1360.997	0.904168	10.295
FBtr0340359	2225	2053.997	1.098569	18.877
FBtr0301148	981	810.156	72.961621	494.497
FBtr0086684	908	737.213	0.251155	1.549
FBtr0306637	2237	2065.997	1.022274	17.668
FBtr0301149	1514	1342.997	1.472393	16.542
FBtr0086600	1106	934.997	6.529275	51.071
FBtr0331978	1118	946.997	15.138233	119.929
FBtr0078769	621	450.370	4403.550340	16591.000
FBtr0070712	1878	1706.997	0.840327	12.000
FBtr0343263	1108	936.997	0.086104	0.675
FBtr0343264	928	757.212	0.124329	0.788
FBtr0072024	920	749.213	0.127162	0.797
FBtr0113111	979	808.157	0.109526	0.740
FBtr0333452	4664	4492.997	0.100821	3.790
FBtr0333450	3996	3824.997	0.075639	2.420
FBtr0333451	4043	3871.997	0.074200	2.403
FBtr0300831	4092	3920.997	0.072759	2.387
FBtr0076303	1640	1468.997	0.910381	11.188
FBtr0076302	1655	1483.997	1.894412	23.518
FBtr0076301	2049	1877.997	46.865807	736.294
FBtr0077098	1123	951.997	80.967337	644.830
FBtr0070552	1047	875.997	0.000000	0.000
FBtr0075818	1346	1174.997	28.790525	283.000
FBtr0088789	1908	1736.997	5.436606	79.000
FBtr0304960	503	332.425	0.000000	0.000
FBtr0075249	843	672.247	0.000000	0.000
FBtr0084104	1804	1632.997	206.425610	2820.000
FBtr0336911	2177	2005.997	12.511536	209.962
FBtr0088974	1597	1425.997	15.543216	185.421
FBtr0100360	4963	4791.997	0.523048	20.968
FBtr0110880	2920	2748.997	0.150462	3.460
FBtr0334105	2225	2053.997	0.284996	4.897
FBtr0301185	2946	2774.997	0.147243	3.418
FBtr0110881	4262	4090.997	1.848312	63.256
FBtr0336928	1138	966.997	0.392260	3.173
FBtr0072107	995	824.143	0.119920	0.827
FBtr0085786	2956	2784.997	10.227851	238.292
FBtr0085785	3082	2910.997	0.939522	22.880
FBtr0334549	2894	2722.997	1.031025	23.486
FBtr0334550	3020	2848.997	0.478829	11.412
FBtr0340191	4545	4373.997	9.175377	335.740
FBtr0073848	4477	4305.997	50.832564	1831.116
FBtr0078387	3371	3199.997	7.267392	194.549
FBtr0087487	2027	1855.997	15.457306	240.000
FBtr0083735	2688	2516.997	0.046838	0.986
FBtr0332539	2448	2276.997	0.053220	1.014
FBtr0077790	977	806.159	0.000000	0.000
FBtr0331440	941	770.210	0.000000	0.000
FBtr0331439	971	800.166	0.000000	0.000
FBtr0082634	1746	1574.997	15.103347	199.000
FBtr0079612	1320	1148.997	6.052145	58.174
FBtr0087980	1799	1627.997	0.000057	0.001
FBtr0087979	1558	1386.997	0.000000	0.000
FBtr0072044	1063	891.997	0.000000	0.000
FBtr0343206	1072	900.997	0.000000	0.000
FBtr0072043	1160	988.997	0.000000	0.000
FBtr0075225	1132	960.997	0.000000	0.000
FBtr0112489	446	275.456	11.349670	26.154
FBtr0339263	740	569.308	0.843460	4.017
FBtr0301018	2276	2104.997	1.192525	21.000
FBtr0302526	640	469.349	4.074961	16.000
FBtr0100009	3280	3108.997	5.344343	139.000
FBtr0089901	2338	2166.997	1.087575	19.716
FBtr0089902	1803	1631.997	0.528167	7.211
FBtr0300562	2617	2445.997	2.886818	59.071
FBtr0089900	2125	1953.997	0.418620	6.843
FBtr0089904	2355	2183.997	0.541064	9.886
FBtr0301521	2467	2295.997	0.812928	15.614
FBtr0089905	2568	2396.997	1.479076	29.659
FBtr0345390	5214	5042.997	0.717094	30.253
FBtr0331425	3556	3384.997	1.090644	30.885
FBtr0332155	4408	4236.997	1.449419	51.375
FBtr0075014	3541	3369.997	0.904065	25.488
FBtr0078874	603	432.380	0.276461	1.000
FBtr0083452	2975	2803.997	10.548317	247.435
FBtr0302317	2262	2090.997	21.069812	368.565
FBtr0333248	2543	2371.997	0.098387	1.952
FBtr0114524	2411	2239.997	0.109273	2.048
FBtr0273385	6171	5999.997	1.776524	89.171
FBtr0339307	6637	6465.997	1.217219	65.842
FBtr0273384	6439	6267.997	2.803174	146.987
FBtr0082117	3807	3635.997	4.018559	122.235
FBtr0082116	6303	6131.997	2.042387	104.771
FBtr0082118	4671	4499.997	2.813892	105.930
FBtr0085011	1569	1397.997	0.085505	1.000
FBtr0081174	4145	3973.997	0.269705	8.966
FBtr0081175	3934	3762.997	0.323475	10.183
FBtr0303241	4041	3869.997	0.666496	21.578
FBtr0081176	3893	3721.997	0.338094	10.527
FBtr0305129	2997	2825.997	6.476828	153.121
FBtr0339156	2994	2822.997	1.959125	46.267
FBtr0339157	2988	2816.997	2.020366	47.612
FBtr0071784	2049	1877.997	1.421407	22.331
FBtr0071785	1989	1817.997	61.324512	932.669
FBtr0089148	3050	2878.997	1.232087	29.674
FBtr0089147	2773	2601.997	3.217740	70.042
FBtr0089150	2762	2590.997	3.149112	68.258
FBtr0089146	2709	2537.997	3.640075	77.286
FBtr0308247	2614	2442.997	20.191680	412.663
FBtr0089149	2840	2668.997	1.123087	25.076
FBtr0302559	2531	2359.997	0.000000	0.000
FBtr0346506	2597	2425.997	0.000000	0.000
FBtr0302190	3048	2876.997	3.291787	79.227
FBtr0086145	3054	2882.997	5.753892	138.773
FBtr0306281	375	204.526	0.000000	0.000
FBtr0306280	392	221.508	0.000000	0.000
FBtr0306258	4812	4640.997	4.686112	181.938
FBtr0073119	3828	3656.997	40.500549	1239.041
FBtr0073120	4106	3934.997	38.834880	1278.399
FBtr0073118	4763	4591.997	42.826315	1645.177
FBtr0337055	3442	3270.997	12.015604	328.796
FBtr0333895	3491	3319.997	62.838201	1745.266
FBtr0337056	4046	3874.997	9.266241	300.383
FBtr0077442	1411	1239.997	4.820025	50.000
FBtr0076018	1266	1094.997	2.633031	24.120
FBtr0076017	963	792.183	7.224913	47.880
FBtr0339781	3357	3185.997	0.450884	12.017
FBtr0070778	3093	2921.997	0.810503	19.812
FBtr0344824	2804	2632.997	8.542806	188.170
FBtr0345292	830	659.257	12.943949	71.387
FBtr0070983	837	666.253	5.072440	28.272
FBtr0070982	1100	928.997	1.792657	13.932
FBtr0070981	941	770.210	103.294552	665.559
FBtr0070980	854	683.234	5744.669259	32834.849
FBtr0307300	2919	2747.997	11.677675	268.456
FBtr0113024	3030	2858.997	1.052598	25.175
FBtr0332600	2913	2741.997	0.408428	9.369
FBtr0083414	2815	2643.997	14.647935	323.994
FBtr0337043	3789	3617.997	1.189601	36.006
FBtr0077516	1338	1166.997	0.204861	2.000
FBtr0112524	1274	1102.997	1.738269	16.040
FBtr0089233	3691	3519.997	2.468295	72.684
FBtr0334626	3376	3204.997	2.136225	57.276
FBtr0310651	3526	3354.997	8.359989	234.638
FBtr0089229	3501	3329.997	11.321919	315.402
FBtr0082920	981	810.156	0.000000	0.000
FBtr0077386	1734	1562.997	19.578602	256.000
FBtr0071106	2301	2129.997	0.056120	1.000
FBtr0070937	2201	2029.997	94.525247	1605.253
FBtr0070938	2487	2315.997	60.529391	1172.747
FBtr0070397	1267	1095.997	0.218133	2.000
FBtr0074346	819	648.266	0.000000	0.000
FBtr0071471	1606	1434.997	0.041653	0.500
FBtr0330316	1609	1437.997	0.041561	0.500
FBtr0074918	1253	1081.997	16.609211	150.340
FBtr0072124	2163	1991.997	23.163195	386.000
FBtr0071683	1189	1017.997	63.760727	543.000
FBtr0077403	1061	889.997	0.102363	0.762
FBtr0113021	1089	917.997	0.097176	0.746
FBtr0077402	1231	1059.997	0.078180	0.693
FBtr0077401	1011	839.997	0.113605	0.798
FBtr0300280	1584	1412.997	0.000000	0.000
FBtr0346378	3461	3289.997	0.476067	13.103
FBtr0074809	2896	2724.997	20.346179	463.820
FBtr0335137	3353	3181.997	0.581848	15.488
FBtr0346141	373	202.527	0.001786	0.003
FBtr0085611	272	101.580	12.940931	10.997
FBtr0074029	585	414.384	0.000000	0.000
FBtr0075388	1505	1333.997	0.098768	1.102
FBtr0343534	2295	2123.997	0.050526	0.898
FBtr0086001	1762	1590.997	0.075133	1.000
FBtr0321315	1239	1067.997	0.000000	0.000
FBtr0333037	2846	2674.997	1.230419	27.534
FBtr0075724	2737	2565.997	2.744916	58.923
FBtr0075723	2084	1912.997	1.721029	27.542
FBtr0342770	3744	3572.997	9.313543	278.386
FBtr0070420	3766	3594.997	65.256017	1962.544
FBtr0342771	3838	3666.997	2.740510	84.070
FBtr0333323	2883	2711.997	0.705962	16.017
FBtr0333322	2930	2758.997	1.017220	23.478
FBtr0074137	2347	2175.997	3.812009	69.392
FBtr0074135	2386	2214.997	48.684133	902.113
FBtr0308136	1697	1525.997	0.036803	0.470
FBtr0080237	698	527.331	0.000000	0.000
FBtr0300638	3446	3274.997	0.000000	0.000
FBtr0073729	466	295.449	54.688970	135.171
FBtr0084836	743	572.308	23.810840	114.000
FBtr0082430	1248	1076.997	0.577169	5.200
FBtr0335211	1142	970.997	20.287980	164.800
FBtr0076857	1307	1135.997	0.947033	9.000
FBtr0300424	902	731.214	0.000000	0.000
FBtr0083860	1793	1621.997	1.372211	18.620
FBtr0302327	1744	1572.997	134.043830	1763.904
FBtr0083861	1877	1705.997	12.155219	173.477
FBtr0083086	1479	1307.997	17.171332	187.893
FBtr0334589	2552	2380.997	1.567389	31.220
FBtr0091874	595	424.382	1.315602	4.671
FBtr0073935	992	821.144	0.000000	0.000
FBtr0073300	818	647.267	0.000000	0.000
FBtr0073299	2460	2288.997	0.000000	0.000
FBtr0088841	1522	1350.997	1.819863	20.568
FBtr0088842	1468	1296.997	56.138228	609.113
FBtr0345599	2094	1922.997	0.159409	2.564
FBtr0070422	1749	1577.997	0.294689	3.890
FBtr0342772	681	510.336	0.013758	0.059
FBtr0070421	1547	1375.997	0.010245	0.118
FBtr0333023	2495	2323.997	0.065126	1.266
FBtr0075579	1678	1506.997	0.137530	1.734
FBtr0072248	2815	2643.997	0.064274	1.422
FBtr0345620	2931	2759.997	0.012548	0.290
FBtr0072247	2800	2628.997	0.013122	0.289
FBtr0072253	1306	1134.997	1.628849	15.466
FBtr0343432	1090	918.997	27.053459	207.987
FBtr0073127	1478	1306.997	0.227146	2.484
FBtr0073128	1471	1299.997	0.231387	2.516
FBtr0079458	1541	1369.997	0.003986	0.046
FBtr0079460	1595	1423.997	0.707689	8.430
FBtr0079462	1526	1354.997	0.004012	0.045
FBtr0079461	1505	1333.997	0.004049	0.045
FBtr0079459	1585	1413.997	0.712923	8.433
FBtr0081997	1156	984.997	51.200547	421.900
FBtr0081996	1257	1085.997	1.010493	9.180
FBtr0336761	1233	1061.997	7.419776	65.920
FBtr0336637	3026	2854.997	0.057761	1.380
FBtr0300693	1964	1792.997	0.000000	0.000
FBtr0336636	3290	3118.997	0.051255	1.337
FBtr0071797	3770	3598.997	0.042616	1.283
FBtr0336638	1523	1351.997	0.000000	0.000
FBtr0087382	5033	4861.997	20.404382	829.924
FBtr0339998	5235	5063.997	2.291490	97.076
FBtr0301478	2790	2618.997	24.013967	526.137
FBtr0089521	2653	2481.997	9.030953	187.515
FBtr0306351	2221	2049.997	2.036727	34.929
FBtr0306350	2503	2331.997	2.514273	49.050
FBtr0301477	4782	4610.997	0.916910	35.369
FBtr0300224	1562	1390.997	0.055295	0.643
FBtr0114515	1508	1336.997	0.058020	0.649
FBtr0087406	329	158.547	0.000000	0.000
FBtr0072888	2130	1958.997	0.000000	0.000
FBtr0085859	1170	998.997	0.478625	4.000
FBtr0334894	6412	6240.997	35.111137	1833.155
FBtr0084460	6624	6452.997	9.681235	522.628
FBtr0304567	3987	3815.997	6.334477	202.218
FBtr0070907	2510	2338.997	121.155785	2370.686
FBtr0070906	2636	2464.997	0.596902	12.309
FBtr0305911	1961	1789.997	6.585507	98.615
FBtr0289953	2161	1989.997	4.753008	79.126
FBtr0305910	2015	1843.997	3.452488	53.259
