Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	331.961	0	0
FBtr0300738	2350	2172.8	0	0
FBtr0300739	2172	1994.8	0.532688	7.1357
FBtr0300737	2184	2006.8	0	0
FBtr0300736	2338	2160.8	0.208938	3.03178
FBtr0078628	2467	2289.8	0.330974	5.08927
FBtr0300740	2479	2301.8	0	0
FBtr0078627	2301	2123.8	0.823398	11.7432
FBtr0300741	2313	2135.8	0	0
FBtr0072762	889	711.801	61.6461	294.665
FBtr0346821	1270	1092.8	4.06673	29.8436
FBtr0331460	900	722.801	1.83279	8.896
FBtr0303848	5005	4827.8	5.02273	162.837
FBtr0086122	1465	1287.8	0.462537	4
FBtr0335147	3125	2947.8	0	0
FBtr0081459	3019	2841.8	24.7219	471.78
FBtr0305321	6523	6345.8	0.758465	32.3211
FBtr0083716	5665	5487.8	21.6725	798.679
FBtr0078184	1305	1127.8	0.132039	1
FBtr0081691	765	587.801	0	0
FBtr0085263	1228	1050.8	0	0
FBtr0086342	492	314.961	0	0
FBtr0086343	495	317.961	0	0
FBtr0091847	1023	845.801	1.03971	5.90536
FBtr0072393	1393	1215.8	81.9318	668.928
FBtr0343502	867	689.801	0	0
FBtr0343753	3569	3391.8	3.38099	77.0084
FBtr0433525	3725	3547.8	0	0
FBtr0113895	961	783.801	14.0865	74.1433
FBtr0345179	887	709.801	66.8951	318.857
FBtr0334135	4703	4525.8	0	0
FBtr0334137	4561	4383.8	0.756603	22.2732
FBtr0334141	5321	5143.8	0	0
FBtr0334139	4203	4025.8	0	0
FBtr0334140	5704	5526.8	0	0
FBtr0344148	4894	4716.8	0	0
FBtr0334142	5071	4893.8	0	0
FBtr0334138	5563	5385.8	0	0
FBtr0334136	3862	3684.8	3.97743	98.4196
FBtr0085105	995	817.801	3.27763	18
FBtr0346720	2745	2567.8	0	0
FBtr0076089	442	265.02	0	0
FBtr0087500	1417	1239.8	12.3715	103
FBtr0073094	1694	1516.8	12.4433	126.744
FBtr0073093	1577	1399.8	82.6862	777.256
FBtr0343515	1092	914.801	0.690822	4.24382
FBtr0072451	975	797.801	12.0871	64.7562
FBtr0071607	2252	2074.8	2.72736	38
FBtr0081516	4704	4526.8	0.197376	6
FBtr0300749	931	753.801	5.42782	27.4755
FBtr0346532	1185	1007.8	0	0
FBtr0073076	880	702.801	72.5763	342.524
FBtr0089289	4677	4499.8	0.408941	12.3572
FBtr0100448	4590	4412.8	1.79636	53.2318
FBtr0089290	4681	4503.8	0.0195095	0.590052
FBtr0089288	4037	3859.8	15.4288	399.91
FBtr0100447	4417	4239.8	1.37473	39.1406
FBtr0329933	4663	4485.8	3.41823	102.969
FBtr0336949	2826	2648.8	22.1393	393.802
FBtr0088786	1378	1200.8	80.7565	651.198
FBtr0088785	1869	1691.8	14.1346	160.582
FBtr0303077	607	429.852	0	0
FBtr0339716	615	437.852	0	0
FBtr0085459	600	422.852	65.855	187
