Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	252.42	0	0
FBgn0283429	369	198.527	3.80373	6.30989
FBgn0267873	257	86.6154	0	0
FBgn0267896	719	548.146	0	0
FBgn0260225	1197	1026.07	0.116636	1
FBgn0262849	1188	1017.07	2.78141	23.6377
FBgn0040928	1085	914.065	2.74947	21
FBgn0262789	532	361.253	0	0
FBgn0058461	391	220.466	1.20119	2.21281
FBgn0042701	620	449.253	1.70749	6.40974
FBgn0263493	352	181.545	0	0
FBgn0265917	359	188.527	0	0
FBgn0262163	610	439.253	0	0
FBgn0085831	237	66.6228	0	0
FBgn0267108	321	150.545	5.19457	6.53445
FBgn0051032	770	599.146	8.78877	44
FBgn0266102	391	220.466	0	0
FBgn0053867	526	355.253	0.000329194	0.000977198
FBgn0267026	323	152.545	0	0
FBgn0267519	2689	2518.07	2120.18	44609.9
FBgn0058005	1227	1056.07	0.386679	3.41219
FBgn0039979	803	632.146	7.03059	37.1365
FBgn0053318	523	352.253	0.67949	2
FBgn0053805	440	269.42	0	0
FBgn0267419	780	609.146	0	0
FBgn0267892	760	589.146	0	0
FBgn0267902	582	411.253	0	0
FBgn0267867	274	103.586	1.40118	1.2128
FBgn0262964	777	606.146	0.197438	1
FBgn0085790	1041	870.065	0	0
FBgn0267879	601	430.253	0	0
FBgn0267886	266	95.6063	0	0
FBgn0085291	1130	959.065	0	0
FBgn0263093	1182	1011.07	18.5439	156.665
FBgn0267885	690	519.253	0	0
FBgn0030117	636	465.253	0	0
FBgn0058182	291	120.586	1.0381	1.04599
FBgn0052518	75	18.5738	0	0
FBgn0027934	1345	1174.07	0	0
FBgn0085340	423	252.42	0	0
FBgn0263744	845	674.146	0.177523	1
FBgn0263207	354	183.545	0.83437	1.27966
FBgn0263210	221	50.6707	4.56266	1.93182
FBgn0267427	697	526.253	0	0
FBgn0263975	1131	960.065	2.49308	20
FBgn0267869	420	249.42	0	0
FBgn0037560	620.424	511.188	48.633	325
FBgn0263212	220	49.6707	0	0
FBgn0085732	615.02	543.163	54.0549	583.59
