Name	Length	EffectiveLength	TPM	NumReads
FBgn0053929	423	241.667	0	0
FBgn0283429	369	187.732	0	0
FBgn0267873	257	75.8009	0	0
FBgn0267896	719	537.43	0	0
FBgn0260225	1197	1015.37	0	0
FBgn0262849	1188	1006.37	5.17362	45.9574
FBgn0040928	1085	903.374	3.63688	29
FBgn0262789	532	350.577	0.646316	2
FBgn0058461	391	209.712	0.676236	1.25177
FBgn0042701	620	438.43	0.303292	1.17371
FBgn0263493	352	170.732	0	0
FBgn0265917	359	177.732	0	0
FBgn0262163	610	428.43	0.264435	1
FBgn0085831	237	55.9251	0	0
FBgn0267108	321	139.732	2.56641	3.16536
FBgn0051032	770	588.374	13.4786	70
FBgn0266102	391	209.712	2.48602	4.60181
FBgn0053867	526	344.577	0	0
FBgn0267026	323	141.732	0	0
FBgn0267519	2689	2507.37	1859.13	41146.3
FBgn0058005	1227	1045.37	0	0
FBgn0039979	803	621.374	7.78591	42.7035
FBgn0053318	523	341.577	0.345229	1.04087
FBgn0053805	440	258.667	0	0
FBgn0267419	780	598.374	0	0
FBgn0267892	760	578.374	0	0
FBgn0267902	582	400.43	0	0
FBgn0267867	274	92.7845	1.98584	1.62638
FBgn0262964	777	595.374	0.190287	1
FBgn0085790	1041	859.374	0.474213	3.59714
FBgn0267879	601	419.43	0	0
FBgn0267886	266	84.7931	0	0
FBgn0085291	1130	948.374	0	0
FBgn0263093	1182	1000.37	34.6331	305.813
FBgn0267885	690	508.43	0	0
FBgn0030117	636	454.43	0	0
FBgn0058182	291	109.745	0	0
FBgn0052518	75	21.1385	0	0
FBgn0027934	1345	1163.37	0	0
FBgn0085340	423	241.667	0	0
FBgn0263744	845	663.374	0	0
FBgn0263207	354	172.732	0.811654	1.2375
FBgn0263210	221	41.437	0	0
FBgn0267427	697	515.43	0	0
FBgn0263975	1131	949.374	2.506	21
FBgn0267869	420	238.667	0	0
FBgn0037560	614.846	499.888	45.7591	319
FBgn0263212	220	40.6351	0	0
FBgn0085732	632.256	554.403	81.9233	935.301
FBgn0267593	610	428.43	0	0
FBgn0058100	394	212.712	5.25892	9.87394
FBgn0264888	465	283.667	0	0
FBgn0037143	1446	1264.37	0.0896031	1
