Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.827	0	0
FBtr0300738	2350	2176.67	0	0
FBtr0300739	2172	1998.67	0	0
FBtr0300737	2184	2010.67	1.48767	23
FBtr0300736	2338	2164.67	0	0
FBtr0078628	2467	2293.67	0	0
FBtr0300740	2479	2305.67	0	0
FBtr0078627	2301	2127.67	0	0
FBtr0300741	2313	2139.67	0	0
FBtr0072762	889	715.666	75.3148	414.451
FBtr0346821	1270	1096.67	5.00628	42.2154
FBtr0331460	900	726.666	0	0
FBtr0303848	5005	4831.67	5.75176	213.688
FBtr0086122	1465	1291.67	0.604114	6
FBtr0335147	3125	2951.67	0	0
FBtr0081459	3019	2845.67	22.1503	484.67
FBtr0305321	6523	6349.67	1.08491	52.9695
FBtr0083716	5665	5491.67	20.6038	870.031
FBtr0078184	1305	1131.67	0.459684	4
FBtr0081691	765	591.666	0	0
FBtr0085263	1228	1054.67	0.0616557	0.5
FBtr0086342	492	318.86	0	0
FBtr0086343	495	321.86	0	0
FBtr0091847	1023	849.666	0.642884	4.20013
FBtr0072393	1393	1219.67	14.021	131.493
FBtr0343502	867	693.666	5.73488e-08	3.05884e-07
FBtr0343753	3569	3395.67	3.57852	93.4351
FBtr0433525	3725	3551.67	0	0
FBtr0113895	961	787.666	28.1194	170.306
FBtr0345179	887	713.666	58.9871	323.694
FBtr0334135	4703	4529.67	0	0
FBtr0334137	4561	4387.67	0.369938	12.4809
FBtr0334141	5321	5147.67	0	0
FBtr0334139	4203	4029.67	0	0
FBtr0334140	5704	5530.67	0	0
FBtr0344148	4894	4720.67	0	0
FBtr0334142	5071	4897.67	0	0
FBtr0334138	5563	5389.67	0	0
FBtr0334136	3862	3688.67	3.61496	102.531
FBtr0085105	995	821.666	11.0795	70
FBtr0346720	2745	2571.67	0	0
FBtr0076089	442	268.949	0	0
FBtr0087500	1417	1243.67	12.7577	122
FBtr0073094	1694	1520.67	6.04097	70.6355
FBtr0073093	1577	1403.67	72.8581	786.365
FBtr0343515	1092	918.666	0	0
FBtr0072451	975	801.666	9.40919	58
FBtr0071607	2252	2078.67	2.81544	45
FBtr0081516	4704	4530.67	0.11482	4
FBtr0300749	931	757.666	1.016	5.91909
FBtr0346532	1185	1011.67	0.426401	3.31694
FBtr0073076	880	706.666	67.1298	364.764
FBtr0089289	4677	4503.67	3.88817	134.646
FBtr0100448	4590	4416.67	0.614279	20.8613
FBtr0089290	4681	4507.67	0.287527	9.96579
FBtr0089288	4037	3863.67	10.4315	309.904
FBtr0100447	4417	4243.67	1.4429	47.0827
FBtr0329933	4663	4489.67	0.0119273	0.411754
FBtr0336949	2826	2652.67	22.0194	449.128
FBtr0088786	1378	1204.67	75.508	699.426
