Name	Length	EffectiveLength	TPM	NumReads
FBtr0075502	509	335.801	0.000000	0.000
FBtr0300738	2350	2176.430	0.185197	3.099
FBtr0300739	2172	1998.430	0.182264	2.801
FBtr0300737	2184	2010.430	0.228900	3.538
FBtr0300736	2338	2164.430	0.151923	2.528
FBtr0078628	2467	2293.430	0.136213	2.402
FBtr0300740	2479	2305.430	0.163444	2.897
FBtr0078627	2301	2127.430	0.159385	2.607
FBtr0300741	2313	2139.430	0.195483	3.216
FBtr0072762	889	715.615	75.688455	416.474
FBtr0346821	1270	1096.430	5.143939	43.367
FBtr0331460	900	726.612	0.331171	1.850
FBtr0303848	5005	4831.430	9.515886	353.512
FBtr0086122	1465	1291.430	0.604229	6.000
FBtr0335147	3125	2951.430	2.517713	57.137
FBtr0081459	3019	2845.430	19.632519	429.539
FBtr0305321	6523	6349.430	1.436249	70.120
FBtr0083716	5665	5491.430	20.269759	855.880
FBtr0078184	1305	1131.430	0.459784	4.000
FBtr0081691	765	591.683	0.108282	0.493
FBtr0085263	1228	1054.430	0.123340	1.000
FBtr0086342	492	318.808	0.000000	0.000
FBtr0086343	495	321.806	0.000000	0.000
FBtr0091847	1023	849.430	1.020975	6.668
FBtr0072393	1393	1219.430	13.629565	127.796
FBtr0343502	867	693.620	0.883009	4.709
FBtr0343753	3569	3395.430	4.012340	104.754
FBtr0433525	3725	3551.430	0.253209	6.914
FBtr0113895	961	787.591	28.402011	172.000
FBtr0345179	887	713.615	58.683109	322.000
FBtr0334135	4703	4529.430	0.290534	10.119
FBtr0334137	4561	4387.430	0.443013	14.945
FBtr0334141	5321	5147.430	0.206157	8.160
FBtr0334139	4203	4029.430	0.459992	14.252
FBtr0334140	5704	5530.430	0.193868	8.244
FBtr0344148	4894	4720.430	0.264618	9.605
FBtr0334142	5071	4897.430	0.228184	8.593
FBtr0334138	5563	5389.430	0.183400	7.600
FBtr0334136	3862	3688.430	1.251714	35.500
FBtr0085105	995	821.556	11.081080	70.000
FBtr0346720	2745	2571.430	0.000000	0.000
FBtr0076089	442	268.843	0.000000	0.000
FBtr0087500	1417	1243.430	12.864861	123.000
FBtr0073094	1694	1520.430	6.572652	76.840
FBtr0073093	1577	1403.430	72.481360	782.160
FBtr0343515	1092	918.430	0.234658	1.657
FBtr0072451	975	801.577	9.141445	56.343
FBtr0071607	2252	2078.430	2.815778	45.000
FBtr0081516	4704	4530.430	0.114826	4.000
FBtr0300749	931	757.607	0.687271	4.004
FBtr0346532	1185	1011.430	0.580508	4.515
FBtr0073076	880	706.616	67.451282	366.482
FBtr0089289	4677	4503.430	3.408740	118.036
FBtr0100448	4590	4416.430	1.561389	53.023
FBtr0089290	4681	4507.430	1.337706	46.363
FBtr0089288	4037	3863.430	7.605252	225.926
FBtr0100447	4417	4243.430	1.391948	45.417
FBtr0329933	4663	4489.430	1.299188	44.848
FBtr0336949	2826	2652.430	21.592968	440.388
FBtr0088786	1378	1204.430	75.287696	697.243
FBtr0088785	1869	1695.430	19.149312	249.639
FBtr0303077	607	433.761	0.000000	0.000
FBtr0339716	615	441.756	0.079824	0.271
FBtr0085459	600	426.764	79.150509	259.729
FBtr0070973	1218	1044.430	0.622604	5.000
FBtr0089252	2767	2593.430	2.429054	48.438
FBtr0334488	2840	2666.430	1.600482	32.814
FBtr0334489	2902	2728.430	1.625901	34.110
FBtr0100600	3804	3630.430	3.354374	93.637
FBtr0300305	309	135.946	0.000000	0.000
FBtr0077162	567	393.775	0.000000	0.000
FBtr0072277	713	539.704	57.833132	240.000
FBtr0344898	1082	908.430	0.000000	0.000
FBtr0086817	1175	1001.430	0.000000	0.000
FBtr0333271	5146	4972.430	0.743403	28.423
FBtr0072639	5149	4975.430	0.931609	35.640
FBtr0340000	824	650.649	1.987785	9.945
FBtr0087390	427	253.860	99.927459	195.055
FBtr0070472	3021	2847.430	2.881467	63.088
FBtr0331752	4499	4325.430	16.741005	556.788
FBtr0070475	3174	3000.430	6.802694	156.943
FBtr0070474	3218	3044.430	1.635560	38.287
FBtr0302185	2166	1992.430	1.431733	21.934
FBtr0070471	4805	4631.430	10.441860	371.853
FBtr0112828	2903	2729.430	4.814654	101.045
FBtr0301966	3182	3008.430	1.376001	31.830
FBtr0070468	3055	2881.430	7.683205	170.227
FBtr0070476	2745	2571.430	0.522009	10.321
FBtr0070470	3110	2936.430	1.833312	41.394
FBtr0331751	4750	4576.430	1.207603	42.494
FBtr0070469	4244	4070.430	12.013141	375.989
FBtr0070467	2929	2755.430	0.599098	12.693
FBtr0331753	5004	4830.430	0.639866	23.766
FBtr0070466	2847	2673.430	2.482731	51.036
FBtr0070473	3091	2917.430	2.614751	58.656
FBtr0076265	1575	1401.430	47.792050	514.998
FBtr0331935	1030	856.430	0.174322	1.148
FBtr0088237	816	642.653	97.916745	483.852
FBtr0081705	1363	1189.430	0.000000	0.000
FBtr0088524	1299	1125.430	87.015745	753.000
FBtr0074540	843	669.633	26.801781	138.000
FBtr0074494	1357	1183.430	0.659371	6.000
FBtr0085714	3349	3175.430	103.556513	2528.475
FBtr0085713	3440	3266.430	866.874541	21772.501
FBtr0076256	334	160.934	1.616227	2.000
FBtr0339552	1718	1544.430	12.333474	146.464
FBtr0078950	1533	1359.430	28.368815	296.536
FBtr0070990	1321	1147.430	1.329491	11.730
FBtr0100409	805	631.658	1.537865	7.469
FBtr0343330	706	532.706	107.136890	438.839
FBtr0304902	1617	1443.430	0.000000	0.000
FBtr0304901	2286	2112.430	0.061566	1.000
FBtr0078872	1228	1054.430	0.000000	0.000
FBtr0077839	2112	1938.430	13.678687	203.879
FBtr0077837	2331	2157.430	3.194567	52.994
FBtr0077838	2235	2061.430	3.692915	58.535
FBtr0077836	2325	2151.430	18.654256	308.591
FBtr0075133	4018	3844.430	0.588467	17.395
FBtr0332862	2190	2016.430	2.102897	32.605
FBtr0087988	1754	1580.430	164.740309	2001.953
FBtr0087987	1948	1774.430	473.974998	6466.853
FBtr0074688	1633	1459.430	52.308969	587.000
